stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,11.51,170.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.94,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.19,0,0,9.55,0,0,0,0,0,0,0,0,103.11,3.7,12.92,0,0,0,0,0,0,0
 10-12,0,9.49,0,13.09,0,0,14.24,0,0,0,0,0,0,0,0,91.73,7.91,73.83,0,0,5.61,3.87,0,0,0
 14-21,0,0,0,0,1.76,0,0,0,0,0,0,0,2.21,0,0,18.83,0,0,1.52,2.52,0,1.68,1.9,1.14,0
 24-34,0,0,0,0,3.52,0,2.39,0,0.67,0.72,0.98,0.9,0,0,0.77,18.43,0.64,0,1.47,0,0,0.61,0,0,0
 36-46,0,0,0,0,1,0,1.75,0,0,0,0,0,1.7,1.19,0,17.7,1.52,0,0.74,0,0,0,2.12,0.65,1.52
 48-58,0,0,0,0,0,0,9.17,0,0.49,0,0,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,7.97,1.36,1.64,0,0,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.88,0,1.35,0,0,0,0,0,0.53,0,0,22.88,0,0,0,0,0,0,0,2.68,0
 84-94,0,0,0,0,0,0,5.77,0,0,0,0,0,1.76,0,0,5.69,0.69,0,5.45,0,0,0,0,0,3.19
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,3.99,0,0,0,0,0,0,5.17,0,0
108-118,0,0,0,0,3.33,0.64,4.51,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0
120,0,0,1.73,0,1.95,0,0,0,5.66,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0
