stage,epidermis,eye,glial,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,notochord,otic,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.64,0,0,0,3.81,0,0
 36-46,0,0,0,0,0,0,0,0,0,7.19,0,0,0,14.06,0,0
 48-58,0,0,0,0,0,0,0,0,0,16.6,0,0,0,36.21,0,0
 60-70,0,0,0,5.1,0,0,0,0.95,0,9.48,0,0.94,0,34.19,0,0
 72-82,0,0,0.6,0,0,0,0,1.86,1.07,25.85,0,7.2,0,16.33,0,0
 84-94,0,0.93,0,0,0,0,0,0,0,1.72,0,0,0,18.04,0,0
 96-106,0,0.84,2.27,0,0,0,1.15,0,0,31.12,0,4.66,0,4.9,0,0
108-118,1.37,0,4.48,0,1.62,0,5.22,8.27,0,21.86,0,2.06,0,0,1.53,0.9
120,0,0,0,0,0,1.18,5.46,0,0,4.4,0,0,0,5.85,0,0
