stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.73,409.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0
  5-6,6.56,245.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.46,0,0,0,7.88,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,33.29,3.34,0,0,32.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.56,0,1.89,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.44,0,7.53,0,0,0,0,0,1.9,135.31,0,0,0,0,0
 24-34,0,0,4.21,0,1.28,0,0,28.74,0.76,0,0,3.21,0,0,0,0,0,0,0,3.56,6.94,0,0,1024.68,0,38.5,0,0,0,2.45,0,0,335.22,0,0,5.11,0,0.63
 36-46,0,0,0,0,4.56,0,0,72.75,0,0,0,6.81,0,0,1.85,0,0,0,0,11.01,2.96,0,3.11,1991.35,0,38.61,1.39,0,0,11.64,0,0,408.44,0,0,12.18,0,0
 48-58,0,0,0.54,0,2.18,0,0,227.46,0,0,1.68,50.41,0,0,1.08,0,0,1.47,0,18.38,9.68,0,2.27,2167.23,0,38.11,3.6,0,0.39,0.62,0,0,419.98,0,0,10.03,0,5.71
 60-70,0,0,10.54,0,18.36,5.27,0,826.58,0,0,1.21,47.37,0,0,0,1.47,0,1.29,2.6,0,54.04,0.79,0,2456.28,0.66,23.13,0,0,0,0,0,0,414.05,0,0,12.19,0,9.03
 72-82,0,0,4.7,0,15.5,3.45,0,1186.47,0,2.77,0,79.22,2.84,0,0,0,0,13.69,0,13.91,36.42,0,1.44,2250.74,0,40.18,1.79,0,1.4,12.54,0,0,178.83,0,0.5,7.38,0,11.74
 84-94,0,0,1.64,0,8.02,0,0,895.38,0.56,0,0,86.42,6.35,0,0,0.55,0,8.33,0,1.87,36.2,0,2.18,1378.53,0,45.3,2.11,0,0,9.09,0,0,126.21,0,0.64,9.67,0.82,0.7
 96-106,0,0,3.39,0,5.12,4.6,0.66,807.7,0,0.57,4,53.7,2.86,0,0.58,4.04,0,6.43,0,0,17.93,0.76,3.12,962.79,0,46.25,1.59,0,0,2.92,0,0,60.98,3.56,0,3.26,0,9.78
108-118,0,0,6.15,0,18.94,0,6.64,829.44,0,8.66,0,65.05,2.49,0,0,3.22,0.59,13.87,1.35,1.04,41.52,1.77,1.68,1843.15,0,50.69,4.04,0,0,6.54,0.43,0,66.45,1.96,0,4.85,0,1.15
120,0,0,0,0,13.37,0,0,438.42,0,2.28,0,71.97,0,0,0,0,0,11.69,0,1.33,19.21,0,3.92,2360,0,34.63,8.23,0,0,4.5,2.39,0,63.66,0,0,19.01,0,0
