stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.56,1178.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.33,0,0,0,0,0,0,0,0,0,0
  5-6,50.22,740.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,125.99,154.13,0,166.86,0,5.98,562.23,0,0,0,0,31.66,0,0,0,0,0,0,0,0,0,0,0,2899.76,149.67,0,0,985.01,0,0,18.7,0,12.83,0,0,0,0,0,0,0
 10-12,0,128.4,0,251.89,0,21.96,350.81,0,0,0,0,48.89,0,0,0,0,0,5.32,0,0,0,0,0,4096.32,189.55,0,0,1312.97,0,0,10.65,0,188.51,0,18.47,3.51,0,0,0,0
 14-21,0,0,2.39,7.36,71.65,9.95,23.15,0,0,30.42,3.01,0.98,0.89,0,0.9,0,0,0,0,36.47,0,0,20.97,346.57,9.03,0,5.44,10.32,0,0,5.45,41.45,18.22,1.67,57.32,138.11,0,1.1,0,0
 24-34,0,0,1.23,1.23,24.12,1.47,41.75,2.09,0,29.3,0,0,1.06,0,0,0,12.44,0,0.59,55.03,0,0.82,26.37,598.46,5.27,12.25,10.69,0,0,1.8,0,2.71,2.28,1.03,9.52,193.27,0,22.08,0,0
 36-46,0,0,0,0.84,9.73,0,131.15,1.25,2.46,71.02,0.58,0,0,0,0,0,4.36,1.55,0.8,105.84,0.56,4.9,24.26,550.76,7.64,13.64,16.78,0,0.97,0,0,0,7.62,0,0,185.38,0,4.54,0,0
 48-58,0,0,0,0,12.32,0,165.72,2.82,2.54,123.28,0,0,0.42,0,0,3.3,3.95,3.53,1.1,70.39,0,5.93,15.6,318,11.46,14.07,6.34,0,0.97,0,0.65,0,4.49,0,0,148.85,0.37,7.57,0,0
 60-70,0,0,0,0,19.96,0,248.37,1.27,2.98,126.91,3.3,0,0.88,0,0,0.67,1.94,1.78,0,124.86,0,5.43,20.73,192.1,6.02,9.81,41.34,0,0,0,0,0,2.71,0,0,71.87,12.02,3.7,1.13,9.4
 72-82,0,0,1.9,0,4.82,1.52,169.31,0,7.8,55.81,1.27,0,8.9,0,0.77,0,2.09,0,0,127.45,8.82,4.8,6.82,134.04,0,13.95,13.42,0,2.85,2.29,0,0,0.63,0,0,20.58,2.08,6.88,4.22,0
 84-94,0.62,0,2.97,1,26.53,5.23,172.67,0,0,78.55,3.99,2.66,0,3.52,0,0,5.7,0.57,0,86.43,0,5.45,8.64,98.84,3.84,12.09,22.67,0,8.87,1.51,0,0,1.4,0,0,24.77,4.39,5.64,2.16,8.7
 96-106,0,0,0.99,0,20.48,2.1,72.82,2.05,1.01,50.27,1.73,0,0.78,0.92,0,0.58,11.27,7.94,0,99.35,0,2.9,4.26,48.3,0.58,13.29,15.76,0,0,1.68,0,0,3.09,0,0,11.39,0.77,13.15,2.4,0.69
108-118,0,0,0.76,0,12.63,1.93,86.46,2.25,3.06,73.33,0.81,0,0,1.46,0,3.61,1.67,3.35,1.1,119.04,0,10.86,6.95,130.05,0.53,18.77,14.9,0,0,0,0,0,0.87,0,0,14.6,2.65,8.95,0,0
120,0,0,0,0,38.25,0,131.45,0,0,43.43,5.63,0,4.26,0,0,0,12.33,0,0,137.84,1.16,49.32,6.11,197.88,0,30.07,5.84,0,23.99,1.49,0,0,0,1.52,0,15.21,0,18.23,0,0
