stage,epidermis,eye,gut,liver,mesenchyme,neural,paraxial_mesoderm,spinal_cord
 14-21,0,0,0,0,0,0.85,0.88,0
 24-34,0,0.62,0,0,0,7.1,0,1.12
 36-46,0,0,0,0,0.65,2.38,0,0
 48-58,0,0.91,0,0,0.5,0.99,0,1.22
 60-70,0,1.51,0,0,0,1.35,0,4.51
 72-82,0,1.26,0,0.8,0,0,0,0
 84-94,0,0,0.62,0,0,0,0,0
108-118,0,0,0,0,0,1.72,0,0
120,1.13,0,0,0,0,0,0,0
