stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,330.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,193.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,12.16,0,0,0,3.21,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,77.72,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.23,0.85,0,3.25,0,0,0,0.83,0,1.03,0,0,0,0,0,0,0,12.8,0,0,1.81,58.04,0,0,0,0.88,0,4.23,6.55,0.94,7.4,29.2,0,0,1.63,0,0
 24-34,0,0,0,0,8.93,0.98,0,13.4,0,1.47,0.74,3.55,0,0,1.36,0.77,1.29,0,0.71,2.96,0.62,18.13,0,0,2.35,248.59,0,13.61,2.41,0,0,5.56,0,0,1.29,66.9,0,0,10.72,0,0
 36-46,0,0,0,0,4.4,0.72,0,51.1,0,0.89,1.77,7.66,0,0,0.57,0,0.98,1.88,0.68,0,0.63,12.97,0,0,10.83,490.24,0.84,14.99,4.08,0,0,53.68,0,2.02,0.83,90.36,0,0,11.69,0,1.08
 48-58,0,0,0,0,11.3,0.4,0,129.51,0.85,7.21,1.27,18.78,0,4.5,0.6,8.46,0,0.63,0.84,0,2.2,18.77,0,0.92,2.77,566.8,0,8.28,1.37,0,0.56,18.19,0,0,0,87.67,0,0.89,2.52,0,8.63
 60-70,0,0,0,0,3.39,0,0,286.71,0,0,0,26.24,0.95,0,0.71,4.02,1.25,0,0,0,2.28,39.39,1.41,1.84,1.94,650.22,2.89,3.22,1.03,0,1.44,27.24,0,0,0,109.56,0,1.29,4.64,0,20.41
 72-82,0,0,0,0,7.39,10.92,0,266.41,0,0.5,0.51,43.25,1.26,0,0,3.52,0.56,0.59,0,0,0,58.33,2.84,5.92,6.02,734.78,0.51,9.24,2.28,0,0,1.3,0,0,0,40.18,0,1.56,12.29,2.07,0.55
 84-94,0,0,0,0,20.84,11.11,0,160.75,0,4.25,0.59,44.79,3.74,1.3,1.06,2.63,2.01,2.53,0,0.58,0.73,44.76,0.89,5.09,7.57,536.93,2.41,7.45,0,0,0,43.79,0,0.94,0,27.78,0,1.28,22.1,1.48,0
 96-106,0,0,0,0,16.56,28.09,0.71,213.23,1.05,10.06,1.31,46.86,9.37,0,3.89,0.87,4.45,0,0,0.73,0,55.83,8.18,0,3.5,532.81,0.71,14.03,3.13,0,0,38.34,0,0,0,24.88,0.58,0.69,30.07,10.03,7.36
108-118,0,0,2.05,0,21.04,21.13,2.65,192.44,0.54,8.42,0.84,50.8,5.26,0,0.88,7.42,0.91,4.43,1.43,9.79,4.15,52.26,5.92,1.11,4.12,622.61,0.53,10.73,4.64,0,0,21.53,0,0,0,23.36,1.84,6.92,13.38,0,4.39
120,0,0,0,0,26.67,19.53,0,213.02,19.31,3.93,0,47.26,7.71,0,0,19.4,0,0,1.07,0,0,44.7,11.34,0,0,786.65,1.33,10.22,8.54,0,0,5.94,0,3.32,0,0,4.24,0,24.8,6.06,4.74
