stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,49.91,468.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.05,482.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6,0,0,0,16.95,0,18.77,0,0,0,0,0,0,0
  7-9,0,22.28,0,10.72,0,0,55.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.22,26.87,0,0,78.35,0,0,0,0,0,0,0,0,0
 10-12,0,5.69,0,7.04,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.13,0,0,0,97.01,0,0,0,8.76,0,0,0,0,0
 14-21,0,0,0,0,2.35,0,5.49,0,0,0.9,0,0,0,0,0,0,0,17.84,7.69,0,0,0,78.44,0,0,0,0,0,0,4.01,0,6,25.13,0,0,2.38
 24-34,0,0,0,0,0,0,21.57,0,0,0.84,0,0,0,0,0.85,0,0,4.11,10.36,0,0,5.47,123.46,9.53,0,1.33,0,0,5.58,0,0,0.66,26.79,0,7.53,0.63
 36-46,0,0,0,0,0.7,0,21.16,0,0,5.41,0,0,0,0,0,0,0,0,7.99,0,0.89,2.59,82.62,0.63,0.79,0.58,0,0,3.91,0,0,0,13.33,0,0.71,0
 48-58,0,0,0,0,0,0,17.13,0,0,9.6,0,0,0,0,7.61,0.74,0,0,8.95,0,0,2.47,61.44,0,0.58,0,0,0,3.25,0,0,0,21.23,0,0,0
 60-70,0,0,0,0,3.17,0,19.88,0,2.52,14.81,0,0,0,0,0,0,0,0,26.78,0,1.88,5.92,66.47,0,0,1.2,0,0,2.66,0,0,0,6.37,0,0.68,0
 72-82,0,0,0,0,0.49,0,13.5,0,0,10.7,0,0.56,0.52,0,0.64,0,0,0,9.93,0,0,5.11,63.38,0,0,0,0,2.26,0,0,0,0,0.71,0,4.86,0
 84-94,0,0,0,0,7.93,0,13.45,0,0,5.38,0.58,0,0.97,0,2.14,0,0,0,15.92,0,0,1,48.76,0,0,2.24,0,0,5.14,0,0,0,5.73,1.46,1.25,0
 96-106,0,0,0,0,2.13,0,10.29,0.69,0,9.41,0,0,0,0.85,0,0.64,0.93,0,14.71,0,0,2.51,41.39,0,0.61,0.85,0,0,0.81,0,0,0,1.98,0,2.08,0
108-118,0,0,0.93,0,0.9,0.42,29.23,1.28,0,15.41,0,0,0,0,2.5,0.55,0,0,16.07,0,0,2.06,57.46,0.41,0,3.12,0,7.03,3.75,0,0,0,0.46,0,1.02,1.72
120,0,0,0,0,0,12.99,26.42,1.05,0,8.24,0,0,2.62,0,0,0,0,0,6.61,1.72,0,0,95.24,0,0,0,0,0,2.42,0,0,0,32.64,0,0,0
