stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,97.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,170.03,0,0,0,0,0,0,0,0,0,50.98,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,5.16,0,0,0,0,0,0,22.61,0,0,22.8,0,0,0,0,0
 10-12,0,10.46,0,0,0,0,0,0,0,0,0,71.73,0,0,18.98,0,4.78,0,0,0
 14-21,0,0,2.34,0,2.63,0,1.53,2.82,0,0,0,12.83,1.4,0,0,0,0,0.89,3.75,0
 24-34,0,0,0,0.93,0,0.76,0.61,0,0,3.41,0,20.93,0,1.26,0,0,0,0,4.69,0
 36-46,0,0,0,0,0,0,0,0,0,0.94,0,34.06,0,0,0,0,0,0,0,0.76
 48-58,0,0,0,0,9.98,0,0,0,0,1.35,0,6.65,0,0,0,0,0,0,0.78,0
 60-70,0,0,0,0,0.65,0,0,0,0,4.79,4.1,6.76,0,0,0,2.14,0,0,0,0
 72-82,0,0,0,0,1.82,0,0.88,0,0.55,0,0,1.36,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.83,0,0,0,0,0,0,1.01,0,1.27,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.07,0,2.93,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.49,0,0,0.47,0,0,0,1.81,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.13,4.59,9.1,0,0,0,0,0,0,0,0
