stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.23,1073.26,0,32.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.36,0,0,0,260.12,0,14.68,0,0,0,0,0,0,0,0,0,0,0
  7-9,53.36,276.8,0,259.86,0,0,0,4.85,0,0,0,0,0,75.63,0,0,0,0,0,0,0,0,0,0,431.58,68.72,0,0,7099.3,0,0,16.55,0,25.58,0,0,0,0,0,0,0,0
 10-12,0,47.49,0,225.46,0,16.24,0,19.15,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,578.69,52.73,0,0,4043.54,0,0,8.5,37.72,125.23,0,120.74,0,0,0,0,0,0
 14-21,0,4.5,0,4.37,423.41,52.4,0,12.81,0,0,0,3.93,8.08,1.33,0,0,44.18,0.87,2.23,0,142.44,7.32,0,322.79,206.8,0,20.88,393.27,12.68,0,34.03,0,1737.51,8.06,445.58,4261.51,10.47,0,0,2.18,0,0
 24-34,0,0,0,1.8,118.78,5.79,0,12.51,30.44,1.66,6.84,1.33,2.72,2.96,3.36,0.6,116.66,0,23.63,0.84,325.66,21.59,2.43,304.7,324.89,0,29.58,243.67,0,0,41.93,0,15.26,0,213.94,947.81,22.64,0,0,7.03,0,1.49
 36-46,0,0,0,0,58.01,1.8,0,9.16,64.17,0.8,11.9,1.08,1.87,0,1.23,13.88,35.52,0.71,11.82,0,741.97,4.83,7.11,301.38,363.63,5.13,7.81,88.25,0,0,80.78,0,2.1,0,153.97,22.54,12.63,0,0,1.98,0,0
 48-58,0.77,0,0,0.81,59.34,0,0,36.26,41.55,0.65,17.66,18.08,0,3.04,2.74,0,17.28,0,9.76,4.43,1018.95,8.63,1.23,211.88,357.86,1.51,3.27,74.39,0,0.39,46.43,0,0,0,62.66,1.38,23.6,0,0,1.81,0,1.78
 60-70,0,0,0,0,91.71,0,0,42.74,28.3,12.45,7.6,10.55,0,0,0.66,3.71,14.7,0,11.08,0,1261.59,12.62,1.78,143.72,288.1,0,7.79,68.26,0,0,78.31,0,0,0,59.81,0,21.45,13.87,2.09,0,0,2.96
 72-82,0,0,0,0,53.79,8.99,0,53.08,24.65,3.05,20.11,18.5,2.16,1.09,2.56,0,20.18,3.81,17.17,0,1223.74,19.53,2.84,173.18,168.27,0,13.59,76.3,0,0.83,114.28,0,0,0,15.83,0,10.94,41.36,5.11,3.39,4.71,0
 84-94,0,0,0,0,91.56,9.71,0,79.26,22.22,11.45,11.42,11.85,5.8,2.24,0,2.92,31.79,1.5,5.51,4.22,974.41,15.22,13.06,148.52,136.78,0,15.51,182.39,0,0,363.37,0,0,0,20.17,0,11.59,145.69,23.19,5.69,4.05,0.73
 96-106,0,0,2.06,0,92.85,15.37,9.96,51.93,45.38,15.56,14.51,14.12,7.11,0,0,2.19,38.26,0,10.72,8.89,815.39,23.4,3.7,155.32,165.53,0.86,15.98,205,1.2,7.95,279.25,0,0,0.71,10.07,0,0,177.12,6.93,7.67,1.37,13.77
108-118,0.67,0,0,0,93.47,7.83,0,22.45,45.38,24.19,9.4,10.41,10.85,0,7.24,1.15,62.97,6.65,12.2,8.92,896.15,34.8,3.5,148.34,144.96,0,20.75,158.21,0,5.44,330.03,0,0,0.45,22.13,0,7.06,224.05,5.71,0.66,2.27,0
120,0,0,0,0,126.3,0,0,40.75,93.26,11.58,11.22,23.37,4.65,0,0,0,47.55,1.91,13.27,5.66,670.73,4.77,0,118.68,177.77,0,26.13,146.7,0,2.76,269.36,0,1.12,0,5.66,0,1.98,108.62,5.29,0,0,0
