stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.76,0,0,0.87,0,0,0,1.83,0,0,0,0,0,0,4.19,0,0,1.4,0.89,0,2.46,0,0.9,2.56,4.36,18.21,2.74,0,0,0,0
 24-34,0,0,0,2.23,0,0,0,0,6.47,0.63,0.78,0,0.66,0,0,0,0,9.88,0,0,16.07,8.77,0,1.38,0,0,0,1.77,6.27,5.99,0,0,0,0
 36-46,0,0,0,0.63,0,0,1.3,0,5.93,0,3.23,0,0,0,0.72,0,0,26.28,0,0,7.52,12.11,0,0.57,0,0,0,0,0,7.39,0,0,0,0
 48-58,0,0,0,0.68,0,0,9.52,0,8.42,0,3.46,0,0,0,0,0,0.39,44.04,0,0,5.38,3.07,0,3.79,0,0,0,0,0,4.28,0,0,0,0
 60-70,0,0,0,0,0,0,5.05,1.02,1.83,3.98,5.49,0,0,0,0,0,0,107.84,0,0,8.56,11.94,0,2.23,2.07,0,0,0,0,1.82,0.71,1.83,0,0
 72-82,0,0.69,0.75,9.15,0,0,5.55,0.55,4.85,0.54,22.2,0.89,0,5.48,0,0,0,164.79,0.56,0,15.77,12.83,0,1.23,0,0,0,0,0,2.3,4.79,0.52,2.38,0
 84-94,0,0,0,10,0,0,12.7,0,12.97,0.94,24.05,0,0.73,2.54,0,0,0,176.15,0,0.8,16.63,22.74,0.61,6.27,2.3,0,0,0,0,0,2.26,0,0,0
 96-106,0,0,0,22.87,5.53,0,7.51,0,1.87,3.83,10.38,0,0,0,1.48,0,0,156.85,0,0,13.7,9.92,0,4.96,0,0,0,0,0,0,3.91,0,0,0
108-118,0,0,0.61,15.35,0,0,13.5,0,8.15,4.5,17.59,0,0,0,0,1.74,0,168.02,0,0,10.52,10.31,1.18,3.98,2.11,0,0,0,0,0.57,2.01,0,3.22,0.49
120,0,0,0,10.43,0,5.97,0,0,11.1,1.92,7.54,0,0,0,0,0,0,125.34,0,0,2.14,9.2,0,0,2.76,0,0,0,0,0,0,19.96,0,0
