stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,32.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.71,40.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,71.36,0,0,0,6.1,0,0,0,0,0,0,0
 10-12,0,0,9.7,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,25.47,0,0,0,4.5,0,9.99,0,0,0,0,0
 14-21,0,0,0,2.05,0,0,0,0,0,0,0,0,0,2.07,0.95,0,2.11,9.02,0,0,0,0,0,0,1.63,2.91,0,0,0
 24-34,0,0,0,1.92,0,4.7,0,0,0,0,0,0,1.18,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.36,0,0.68,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,1.92
 48-58,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.76,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0
 72-82,0,0,0,0.65,4.94,2.41,0,0.6,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.7,0.57,2.14,0,0,0,0,0,0,0,0,0,0,0,1.34
 96-106,0,0,0,1.75,0,1.06,0.56,2.11,0,0,0,0.89,0,0,1.51,0,0,4.18,0,1.65,0.69,0,4.33,0,0,0,0,0,0.81
108-118,0,0,0,5.33,1.76,3.63,0,4.49,0,0,0,0,0,0,2.11,0,3.26,3.12,0.77,0,0,0,6.65,0,0,0,0,0.56,0
120,0,0,0,0,0,0,0,9.68,0,0,0,0,0,0,0,0,2.07,19.58,0,0,0,19.84,1.16,0,0,0,0,0,0
