stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,neural,notochord,pronephros,spinal_cord,vascular_smooth_muscle
  5-6,6.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.14,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.77,0
 24-34,0,0.97,0,0,0,0,9.32,0,0,0,0
 36-46,0,0,0,0,0,0,5.79,0,0,0,0
 48-58,0,0,2.26,0.6,0,0,16.61,0.71,0,1.56,0
 60-70,0,0,5.86,0,0,0,5.84,0,1.82,3.08,0.71
 72-82,0,0,7.86,0,0,0.59,22.61,0,0,0,0.75
 84-94,0,0,11.26,0,0,0,8.33,0,0,0,0
108-118,0,0,0,0,0.44,0,2.08,0,0.61,0,0
120,0,0,9.13,0,0,0,3.87,1.29,0,0,0
