stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,24.1,0,0,6.26,0,0,0,0,0,0,0,0,21.99,0,4.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,50.52,0,0,0,0,0,0,0,0,0,0,0,30.42,0,25.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,25.81,0,0,0,1.91,0,0,0,4.61,1.11,6.01,1.83,0,0,5.2,16.44,10.37,6.35,0,0,45.67,0
 24-34,0,0,0,0.74,0.76,3,0,0,10.21,0,0,0.62,17.09,2.46,31.13,0.76,0,0,0,1.16,3.27,1.13,0,0,109.47,0
 36-46,0,0,0,0,0,0,0,0,1.94,0,0,0,6.37,3.13,26.54,0,0,0,0,0,0,0.69,0,0,22.62,0
 48-58,0,0,0,0,0,2.36,0,0,0.67,0,0,0,5.31,0.5,6.7,0,0,0,0,0,0,0.9,0,0,4.8,6.31
 60-70,0,0,0,0,0,36.29,0.58,0.63,1.29,0,0,0,8.27,0,6.83,0,0,0,0,0,0,0,0,0.8,0.74,0
 72-82,0,0.56,0,0.5,0,266.26,1,0,0,0,0,0,26.5,0,6.73,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,264.69,1.07,0,0,0,0,0,21.82,0.69,3.59,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.57,0,1286.03,0.75,0,0,0,1.98,4.28,6.99,0,2.1,0.73,0,3.29,0,1.19,0,5.9,0,0,2.98,0
108-118,0,0,0,1.04,1.88,1101.65,0,2.39,0,0,0,0,13.47,1.57,13.97,0,0,0.89,0,0,0,0,1.21,0,0,0
120,0,0,0,2.67,0,1801.59,0,0,0,1.42,0,0,28.16,0,48.65,0,0,0,0,0,0,0,0,0,0,0
