stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,38.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.94,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.81,0,0,0,14.83,0,0,4.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.83,0,2.11,0,0,0,4.84,0,0,0,0,0.9,0,0,0,0,7.21,0,0,2.3,86.52,1.29,2.47,0,0,0,17.26,0,5.21,0,3.39,40.59,0,0,0,0,0
 24-34,0,0,0.66,0,1.85,0,5.26,0,0,0,7.09,0,0,0.8,0,4.94,0,0,0,0,10.07,0,0,3.3,183.91,0,3.1,3.18,0,0,44.65,0,0,0,0,46.22,0,0,3.17,0,0
 36-46,0,0,0,0,0,0,10.53,0,0,0.61,8.91,0,0,0,0,15.2,1.49,0,0,0,11.53,0.68,1.25,2.02,244.7,0,4.35,1.88,0,0,54.17,0,0,0,0,72.96,0,0,0.76,0,1.16
 48-58,0,0,0,0,1.7,1.85,45.16,0.58,0.62,4.58,24.62,0,0,0.65,0,16.45,0,0,0,0,26.94,1.73,1.25,1.99,396.68,6.35,4.63,0.49,0,0,50.17,0,0,0.56,0,103.42,0,0,2.32,0,0.48
 60-70,0,0,0,0,2.18,0,115.62,0,3.01,1.06,24.72,0,0.97,0.93,0,0.59,0,0,0,0,33.15,3.17,0,2.72,445,0,0.84,0.63,0,0,35.58,0,0,0,0,73.68,0,0,4.17,0,0
 72-82,0,0,1.73,0,3.27,1.84,156.4,1.29,3.7,1.44,44.89,0.66,0,0,0.68,3.13,0,0,0,0,40.01,2.85,5.27,8.16,485.26,1.92,5.24,0.76,0,0,32.84,0,0,0,0,46.5,4.46,3.6,16.74,0,0
 84-94,0,0,0,0,15.41,0,106.82,1.88,0.58,0,37.94,0,0,0,0,6.62,0.76,0,0.59,1.82,46.17,0,0,0,328.68,0,8.73,1.05,0,0,73.7,0,0,0,0,13.96,0,0,2.81,0.77,0
 96-106,0,0,0,0,5.68,3.16,67.14,0,0,3.37,59.34,1.64,0,0.68,3.09,9.4,0.75,1.33,0,0,36.59,0,1.16,1.4,279.21,0,4.14,2.22,0,4.57,87.05,0,0,0,0,20.72,0.58,0.87,5.24,0,0
108-118,0,0,0,0,14.93,0,82.67,0,1.78,4.09,56.4,1.54,0,0.93,0,10.16,6.51,0.78,0,0,59.79,2.59,10.46,0.87,243.68,0,2.97,1.4,0,0,85.74,0,0,0,0,18.23,5.48,1.35,9.35,0,0
120,0,0,0,0,17.94,0,79.75,0,3.7,1.85,66.39,6.9,0,0,8.21,16.38,0,2.11,0,1.6,54.63,2.93,0,4.59,468,5.7,13.89,1.66,0,0,98.69,0,0,2.43,0,20.95,1.63,0,27,0,14.68
