stage,epidermis,eye,mesenchyme,neural,notochord,spinal_cord
 14-21,0.97,0,0,1,0,0
 36-46,0,0,0,0,0,1.05
 48-58,0,27.52,0,0,0,0
 60-70,0,27.79,0,1.39,0,0
 72-82,0,30.92,0,2.3,0,0
 84-94,0,31.17,1.48,18.21,0.62,0
 96-106,0,13.38,5.59,0,0,0
108-118,0,35.78,2.41,0,0,0
120,0,14.49,0,0,0,0
