stage,axial,blastomeres,eye,neural,periderm
  3-4,0,64.71,0,0,0
  5-6,6.8,21.96,0,0,7.68
  7-9,0,0,0,21.29,0
 24-34,0,0,0,1.09,0
 48-58,0,0,3.15,0,0
 72-82,0,0,0.79,0,0
 84-94,0,0,0.56,0,3.85
120,0,0,0,7.5,0
