stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,35.27,0,0,0,0,0,0,0,0,149.5,0,0,0,0,0,0,0,0,0,0,27.91,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,45.08,0,15.42,0,8.02,0,0,0,0,0,0,185.58,0,0,0,0,0,0,0,0,0,0,981.1,9.13,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.25,0,49.27,0,0,0,0,0,1.35,0,0,0,0,0,0,11.61,0,0,1.56,2255.85,5.95,0,0,1.33,0,0,2.2,0.89,2.29,0.82,1278.87,0,0,0,0
 24-34,0,0.66,0,7.32,1.4,54.73,0,0,0.68,11.12,0.63,0,0,2.2,1.34,0,0,1.49,10.93,0.76,0,12.27,7574.75,0,0,1.65,0,0,3.9,0,0.61,6.86,1.6,1742.71,0,0,8.57,0
 36-46,0,0,0,1.66,0,113.01,2.44,0.64,0,428.6,0,0,1.44,2.26,0,9.59,0,0,5.19,0,11.59,11.89,8036.91,3.36,0.93,0,0,0,2.06,0,0,0,0,1087.06,0,0,8.06,0
 48-58,0,0,0,7.67,0,158.53,0,2.44,0,1290.95,0,0,3.56,1.03,0,7.33,0.95,5.57,6.65,0,1.2,1.2,3687.86,0,0,0.59,0,0,0.75,0,0,0,0,269.26,0,0,0.45,2.82
 60-70,0,0,0,5.17,0,128.86,1.55,0,0,885.09,0.6,0,0,0.79,0,0,0,0,4.86,0,0,0,1501.96,0,0,0,0,0,0,0,0,0,0,44.41,0,10.88,0,0
 72-82,0,0,0,9.2,0.97,131.56,0.69,0,0,557.38,0,0,0,2.22,0,0,0,0,27.06,0,0,0,1109.64,0,0,0.61,0,0,0,0,0,0,0,29.33,0,2.97,0,0
 84-94,0,0,0,20.81,0.74,166.27,2.89,0,0,429.38,0,0,0,0,0,0,0,0,13.51,0,0,2.01,1021.4,0,8.58,1.29,0,0,0,0,0,0,0,110.93,0,2.62,1.1,0
 96-106,0,0,0,21.57,2.77,98.99,0,0,0,366.11,0,0,0,0,0.95,0,0,0,19.73,0,0,0.78,756.49,0,3.12,0,0,0,0,0,0,0,0,2.76,1.89,13.33,0,0
108-118,0,0,0,0.92,0.71,62.47,0.67,1.28,0,533.52,0,0,0,0,0,0,0,0,13.03,3.35,3.43,2.17,971.74,0,1.91,0,0,1.8,0.44,0,0,0,0,1.92,0,2.2,0,2.03
120,0,0,0,11.32,0,88.57,0,0,0,530.55,0,0,0,0,0,0,0,0,54.75,0,0,3.15,1019.69,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0
