stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,31.47,0,10.26,0,0,0,0
 14-21,0,0,0,0.81,0.85,0,0,0,0,1.02,1.87,0,0,3.08,0.86,0.81,0
 24-34,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0.71,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0
 48-58,0,0,0,0,0.78,0,0,0,0,0,2.21,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,2.52,0,3.94,0,0,1.57,0,0,0
 72-82,0,0,0,0,0,0,0.49,0,0,0,0,0.56,0,5.44,0,0,0
 84-94,0,0,0,0,0,0,0.56,0,1.01,0,0,0,0,4.34,0,0,7.19
 96-106,0,0,0,0,7.16,0,0.83,0,1.71,0,0,0,0,12.01,0,0,4.07
108-118,0,0.76,0,0,0,0.66,0,0.52,0,0,0,0,0,10.34,0,0,0.47
120,0,4.91,1.65,0,0,0,0,2.37,0,0,0,0,0,5.08,0,0,0
