stage,blastomeres,eye,glial,lateral_line,mesenchyme,neural,notochord,olfactory,spinal_cord,vasculature,xanthophores
  3-4,15.97,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.87,5.34,0,0,0,0
 14-21,0,0,0,0,0,0.98,0,0,0,0,0
 24-34,0,0,0,0,0,3.12,0,0,0.74,0,0
 36-46,0,0,0,0,0.8,3.51,0,0,0,2.3,0
 48-58,0,0.69,0,0,0,1.88,0,0,2.52,0,0
 60-70,0,0,1.34,0,0,0,0,0.84,0,0,0
 72-82,0,0.49,0,0,0,0.64,0,0,0,0,0
 96-106,0,0,0,2.35,0,0,0,0,0,0,0.63
108-118,0,0,0,0,0,0.44,0,0,0,0,5.4
120,0,0,0,0,0,1.72,0,0,0,0,0
