stage,epidermis,exocrine_pancreas,eye,fast_muscle,glial,liver,mesenchyme,mural_cell,muscle,neural,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,6.85,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.83,0,0,0.86,1.82,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.2,0,0,0
 60-70,3.08,0,0,0,0,0,21.58,0,0,9.26,0,0,0
 72-82,0.49,0,4.97,0,0.66,0,24.73,2.15,0,49.12,0.92,0,0.63
 84-94,0.81,0,0,0,1.14,0,18.6,0,0,42.35,0,2.5,0
 96-106,0,1.07,3.98,0.81,0,0,23.52,0,0,60.41,0,0,0
108-118,1.52,0,1.98,0,0.55,0,70.22,0,1.95,86.45,0,0,0
120,1.17,0,0,0,0,0,33.46,0,0,55.94,0,5.42,0
