stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,26.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,5.52,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.82,0,0,0,31.63,0,0,0,0,0,0,0,0
 10-12,0,19.11,0,11.64,0,0,6.15,0,0,0,0,0,0,0,0,0,0,101.49,5.47,0,0,48.89,0,0,7.65,0,0,0,0,0
 14-21,0,0,0,2.41,0,0,0,0,0,0.86,0,0,0,0,0,0,2.63,22.94,1.61,0,0,1.46,0,0,1.08,0.86,2.33,0,0,5.77
 24-34,0,0,1.22,5.15,0,0,0,0,0,0,0,0.64,0,0,3.66,0,1.44,44.44,0,0,0.74,0,0,0,0,0,13.48,0,0,0
 36-46,0,0,4.72,10.57,0,2.7,0,0,0,4.54,0,0,0,0,7.82,1.42,2.27,44.85,6.75,0,1.59,0,0,0,0,0,10.86,5.8,0,0
 48-58,0,0,0,16.38,0,3.14,0,1.21,3.96,0,0,0,0,0,7.03,0,0,32.73,6.08,0,0.43,0,0,0,0,0,4.32,2.53,0,8.04
 60-70,0,0,0.58,20.62,1.64,3.94,0,0,0,0,0,0,0,0,10.31,0,3.53,29.64,0,0,0,0,0.66,0,0,0,17.74,2.39,0,11.15
 72-82,0,0,0,17.59,0,1.59,0,1.12,1.09,0,0,0,0,0,9.89,0,0,19.94,0,0,1.65,0,0,2.97,0,0,0,1.42,0,0.55
 84-94,0,0,0.71,30.05,0,3.95,0,0,1.69,0,1.32,0,0,0,7.34,0,1.67,7.55,0,1.1,0,0,0,6.32,0,0,0.74,6.16,1.53,2.64
 96-106,0,0,0.94,31.31,2.63,1.78,0,1.03,6.31,0,0,0,3.01,0,7.72,0,1.08,13.66,0,0,0,0,0,6.29,0,0,0,2.49,0,0
108-118,0,0,1.05,7.78,0,9.18,0,0,1.13,0,0,0,0.52,0.47,4.03,0,0,13.54,0,0,0,0,0,7.32,0,0,0,1.52,0,0.6
120,0,0,2.51,8.68,0,10.66,0,0,0,0,0,0,0,0,0,0,0,19.71,0,1.46,0,0,0,1.33,0,0,0,0,0,0
