stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.52,0,0,0,0,3.34,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,117.84,0,0,0,33.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.37,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45,0,0,0,14.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.31,1.91,2.88,0,0,0,0,0.99,0,0,0,0.9,0,0,0,0,3.87,0,0,4.61,34.56,1.15,0,0,0.98,0,1.15,3.35,0,58.73,48.81,9.09,0,0,0,0,0
 24-34,0,0,0,8.07,0,2.19,10.87,0,0,0.92,0,0,0,0.6,0,0,0,3.77,1.64,12.59,1.09,0,25.2,75.21,2.06,0.75,1.84,0,0,12.57,0,0,81.36,38.44,19.39,0,0,13.47,0,0
 36-46,0,0,0,0,1.32,17.19,54.93,0,0,6.8,0,0,0,0,0,0,0,0,0,15.72,0,0.74,8.63,100.43,0,0.79,3.48,7.09,0,0,0,0,34.35,7.14,9.23,0,0,4.75,0,9.55
 48-58,0,0,0,5.57,0,44.03,31.36,4.7,1.65,2.54,0,0,0.47,0.47,0,0.38,0,0,0.99,5.94,0,0,20.84,87.47,0,0,0.97,0,0,0,0,0,18.47,0,12.66,0,0.51,3.15,0,0
 60-70,0,0,0,0,0,36.95,31.72,0,0.64,9.73,0,0,0.93,0,0,0,0,0,0,16.16,0.73,0,10.83,101.74,0,0,0,0,0,0,0,0,11.81,0,5.87,0,0.63,10.04,0,2.64
 72-82,0,0.69,0,5.38,0,17.25,13.3,0,1.93,3.45,0,0,0,0,0,0,1.72,0,0,14.81,0,0,7.69,87.83,0,0,0.59,0,0,2.02,0,0,13.18,0,14.31,3.84,0,2.91,0,7.57
 84-94,0,0,0,4.4,1.76,19.21,32.16,1.71,0,3.47,0,0,0,0,0,0,0,0,0,23.64,0,1.09,19.29,81.65,0,0,0,0,0,3.4,0,0,9.68,0,6.63,0,0,4.96,1.5,15
 96-106,0,0,0,6.75,0,52.41,24.56,12.07,0,18.51,0,0,0,0.66,1.76,0,0,0,0,16.88,0,0,16.34,69.54,0.58,0.93,0,0,0,5.68,0,0,5.66,0,2.26,3.64,0,8.17,0,7.71
108-118,0,0,0,0.46,4.96,29.08,38.27,0,3.53,2.78,0.51,0,0,0.84,0,6.82,0,0,0,16.83,6.69,3.7,21.52,31.24,0,0,0,0,5.09,7.31,0,0.87,9.92,0,1.3,0,0.77,0.52,0,2.78
120,0,0,0,7.25,0,21.93,30.68,0,0,2.83,0,0,0,0,0,0,0,0,0,19.85,0,0,27.36,100.45,0,10.58,0,0,15.95,3.11,0,1.02,9.7,0,20,0,0,0,0,0
