stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.9,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0
 48-58,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.92,0,2.07,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.88,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,4.23,0,0,0,0,0,0
 96-106,0,0.61,5.76,4.44,14.13,0,2.64,0.88,1.47,0,115.17,1.92,0,0.93,0,17.52,0,1.13,0,3.18,0,0
108-118,0,0.49,0,2.24,13.88,1.04,1.63,0.53,0.55,0,418.49,5.2,0,0,0,41.67,0,0,0,0,0,0
120,0,0,1.42,0,0,2.48,0,2.28,0,1.74,505.12,16.67,0,0,3.59,32.98,0,7.77,0,0,3.35,3.63
