stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,234.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.97,0,0,0,0,0,0,46.57,0,0,0,0,0,0,0
  7-9,6.78,0,0,0,0,0,0,0,51.7,0,0,17.28,0,0,0,0
 10-12,0,4.41,18.14,0,0,3.61,0,0,115.3,0,0,8.31,0,12.27,0,0
 14-21,0,0,0,3.02,0.99,0,0,2.67,9.98,0,0,0,1.76,0,4.78,0.9
 24-34,0,0,0,0.86,0,3.35,0,0,16.19,1.23,0,0,0,0,2.69,1.07
 36-46,0,0,0,0,0,1.77,0,0,12.34,0,0,0,0,0,0,0
 48-58,0,0,0,2.56,0,0.7,0,1.37,9.59,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.82,9.81,0.73,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.51,0,0,1.19,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,1.19
108-118,0,0,0,0,0,0.82,3.03,1.28,2.34,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0
