stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1182.01,16636.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.27,0,0,0,0,0,0,0,0,0,0
  5-6,2058.53,25081.69,0,102.35,0,0,0,0,0,0,0,0,0,91.96,0,0,0,0,0,0,0,0,0,0,0,1434.47,194.48,0,0,385.56,0,846.79,0,0,0,0,0,0,0,0,0,0
  7-9,896.95,912.07,0,1106,0,0,0,2499.79,0,0,0,0,0,707.98,0,0,0,0,0,0,0,0,0,0,0,22609.33,906.77,0,0,8553.41,0,212.48,219.48,0,0,0,0,0,0,0,0,0
 10-12,8.69,464.66,0,495.67,0,130.7,0,1094.87,0,0,0,0,0,34.82,0,0,0,0,0,0,0,0,0,0,0,9822.15,291.46,0,0,2547.04,0,17.27,54.13,15.3,275.47,0,26.4,9.56,0,0,0,0
 14-21,0,0,0.82,22.54,160.18,32.21,0,54.81,0,1.07,0,19.31,11,0,3.82,0,0,0,0,0,0.86,105.19,0,0,73.93,645.94,22.47,2.24,27.2,14.6,0,12.82,8.32,97.85,5.2,13.85,82.51,200.79,0,9.47,0,0
 24-34,0,0,0,6.18,57.41,2.06,0,53.24,0,6.38,1.39,27.59,1.49,0,8.31,0,2.27,0,0,3.58,0,135.41,0.69,0.89,68.03,830.07,8.02,3.86,8.56,0,0,6.79,1.59,2.95,0,0,12.92,195.09,0,25.32,0,0
 36-46,0,0,0,1.19,21.2,4.05,0,79.67,0,2.46,3.98,66.01,0,0,3.72,0,13.33,0,0.68,0.57,0,149.8,0,0.96,53.42,502.36,0.88,6.68,28.5,0,2.85,0.86,1.46,3.04,0,0,0,156.44,0,8.28,0.78,0
 48-58,0,0,0,0,9.39,0,0,73.31,0,0.47,4.44,85.39,0,0,3.21,1.28,0,0.97,1.35,0.52,0.89,138.54,0,3.03,22.95,185.13,2.26,0.91,11.06,0,0,0.94,0.56,0,0,0,0,70.9,1.45,8.73,0,4.92
 60-70,0,0,0,0,10.26,0,0,66.13,0.6,5.4,2.95,143.22,14.04,0,2.05,0,0,0.61,0.61,0,0,179.95,0,8.27,17.23,57.23,1.1,0.84,14.68,0.81,0,2.93,0,0,0,0,0,31.03,3.31,4.3,0,0
 72-82,0,0,0.91,0.75,10.2,0.76,0,30.69,0,8.36,3.94,145.06,5.84,0,4.54,0,0.53,0,5.21,0,0,220.83,0,17.85,12.8,51.91,0.52,5.51,13.02,0,1.31,1.27,0,0,2.46,0,0,21.27,1.01,10.41,5.26,9.12
 84-94,0,0,1.16,1.04,17.52,1.35,0,30.85,0,14.84,9.51,73.99,7.74,0.64,11.47,3,1.12,0.61,0.71,0,0,219.22,0,3.1,9.51,57.17,1.23,3.93,15.85,0,0.83,0,0,0,1.35,0,0,15.47,15.14,9.64,1.43,0.55
 96-106,0,0,0,0,20.68,1.49,6.8,40.82,0,0.73,5.86,132.06,5.47,0,3.03,1.84,0.8,0,2.28,3.85,0.69,265.99,0,5.72,14.9,86.04,7.43,2.81,24.38,0,3.45,1.97,0,0,0.62,0,0,9.24,5.18,10.82,13.7,10.14
108-118,0,0,0,0.74,37.43,5.15,0,23.8,0,10.58,4.27,129.18,2.6,0,0.69,3.63,0,4.22,5.72,1.58,0.53,279.44,4.5,5.15,15.46,73.04,2.22,1.44,22.68,0,4.33,0,0,0,0,0,0,13.51,7.2,10.29,2.61,3.61
120,0,0,0,0,37.67,4.22,15.97,24.79,0,2.71,4.77,159.71,2.96,0,1.17,3.52,0,0,1.12,1.57,0,273.38,0,0,8.07,110.93,7.93,0,15.69,0,0,0,0,0,0,0,0,6.5,3.99,25.51,12.61,0
