stage,eye,glial,neural,spinal_cord
 48-58,0,0,0.71,2.41
 60-70,0,0,0,1.6
 72-82,0,0.56,3.72,9.11
 84-94,0,0,3.47,0
 96-106,0,0,25.32,0
108-118,1.73,0,0,0
120,0,0,0,6.95
