stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.58,2210.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.3,725.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.32,0,0,0,4.08,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,19.08,0,0,0,4.53,0,22.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.56,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.68,0,0,0,7.14,0,9.99,0,5.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.02,120.21,4.45,0,0.85,0,0.81,0,3.66,5.07,0,0,6.44,0,0,0.93,0,0.8,1.19,0,0,24.74,1.7,5.41,14.12,5.06,0,2.14,6.77,0,1.71,5.21,8.4,0,0,0,0,0
 24-34,0,0,0,2.38,250.01,0.76,0,4.83,0,31.73,0,1.36,6.21,0,0,34.57,2.83,0,7.01,1.12,3.83,1.27,0,2.91,68.23,1.64,9.16,20.73,0,4.44,1.06,0,5.11,0,0.64,10.37,0,0,2.09,0,0
 36-46,0,0,0,0,142.38,0,0,4.72,0,77.28,0,0,3.82,0,0,101.12,1.26,0,3.6,1.72,2.32,0,0,1.94,56.79,0.84,6.8,19.89,0,15.53,0,0,0,0,0,14.31,0,0,1.79,0,0
 48-58,0,0,0,2.15,137.06,0,0,19.59,0,55.46,0.86,23.26,2.79,0,0.4,109.04,0.47,0,9.44,0.37,8.75,5.23,0.73,0,79.14,0,17.68,7.91,0,4.91,0,0,4.53,0.95,0,29.09,0,0.42,2.05,0,0
 60-70,0,0,0.89,0,124.13,0,0,33.04,3.42,97.01,19.31,71.58,6.01,0,10.66,93.34,0,0,2.04,0,7.55,4.82,0,0,77.71,0,11.87,7.8,0,8.89,0,0,0.68,0,0,38.93,0,1.11,1.25,1.09,0
 72-82,0,0,3.55,2.24,122.35,2.8,0,82.38,0,37.67,0,166.64,9.49,0,0,171.21,4.67,0,6.1,0,20.45,3.63,0,0.84,207.39,0,10.41,24.83,0,6.73,0,0,0,0,0,47.53,9.3,0.89,24.24,5.06,2.27
 84-94,0,0,2.22,2.22,243.35,4.26,0,95.72,0,85.08,0.75,108.02,9.55,0,0.78,207.94,7.62,0,2.74,0.6,19.7,5.66,0,0.68,175.07,0,3.13,10.68,0,8.96,0,0,1.77,0,0,16.53,5.41,0,8.78,5.15,0
 96-106,0,0,4.55,0.65,262,10.3,4.27,175.36,0.88,65.04,0,156.84,20.41,0,0,288.21,6.02,1.11,13.2,0,35.47,6.97,0,0,200.52,0,13.62,15.09,0,17.41,0,0,0.61,0,0,35.52,2.87,4.09,30.33,16.67,6.06
108-118,0,0,1.78,0.45,278.61,11.48,2.66,181.19,0,89.57,2.33,169.38,17.9,0,0,232.3,5.32,0,2.85,0.67,15.42,9.24,1.35,1.88,364.07,0,17.42,22.62,0,5.19,0,0,1.36,0.47,0,18.89,5.96,0,18.4,10.7,6.35
120,0,0,0,0,181.98,2.57,0,107.8,0,49.05,5.01,211.79,10.29,0,0,176.17,0,0,1.84,0,12.84,0,8.06,4.3,414.6,0,14.32,16.36,0,9.68,0,0,3.09,0,0,13.27,2.38,0,3.4,8.59,0
