stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.96,0,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,27.85,0,0,0,0,16.52,0,0,0,0,0,0,0
 14-21,0,0,7.43,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,12.28,12.32,3.59,0,0,0,0,0,0,13.9,0,3.6,6.07,31.13,0,0,2.12,0
 24-34,0,0,2.84,1.61,1.42,0,0,1.31,0,0,0,0.98,0,0,0,0,0,16.95,0,0,31.63,118.74,0,1.41,1.94,0,0.99,0,0,0,0,0,0,107.89,0,0,3.67,0
 36-46,0,0,3.49,1.34,7.03,0,0,0.63,8.16,0,0,0,0,0,0,4.05,1.89,41.09,0,0,12.35,266.61,0,0.93,0,0,0,0,0,3.04,0,0,0,116.71,0,0,0,1.02
 48-58,0,0,5.31,0,42.47,1.93,0,5.23,30.07,0,0,0,5.26,0.83,0.4,0,0,82.4,0,0,11.29,637.77,0,0,1.19,0,0,0,0,0,0,0,0,125.99,0,0,0.45,0
 60-70,0,0,13.36,0,538.72,0,0,2.57,79.17,0.84,0,0.58,0,0.81,1.13,0,0,95.75,0,0,6.02,1663.88,0,5.76,0.95,0,0,1.02,0,0,0,0,0,234.3,0.61,0.63,0,0
 72-82,0,0,17.74,2.6,963.38,0,0,0.61,88.86,0,0,0,1.75,0.75,0,0,0,145.93,0,1.08,7.59,1741.64,0,1.28,3.05,0,3.33,2.73,0,0,1.94,0,0,197.94,0,1.65,5.85,0
 84-94,0,0,17.12,0,623.86,1.15,0,0.92,74.34,0,0,0,1.4,0,1.7,4.41,0,110.48,0,1.87,1.21,1090.93,0,5.4,8.2,0,4.78,10.84,0,0,2.26,0,0,84.22,6.48,0,3.29,0.69
 96-106,0,0,14.55,1.76,1153.34,0,0.78,4.1,64.34,0,0,0,0.73,0.76,2.61,10.33,0,73.93,0.71,0,0,963.81,0,4.56,13.97,0,0,5.57,3.82,0,1.43,0,0,78.68,2.87,1.64,1.61,6.88
108-118,0,0,14.81,6.37,708.97,0,0,1.36,68.9,0,0,0,1.26,1.01,0.64,0,0.44,55.69,0,0,2.35,1207.74,0,0.46,7.17,0,3.14,0,0,0,1.8,0,0,41.92,5.62,0,0,5.22
120,0,0,15.37,0,283.67,0,0,5.88,171.33,3.28,0,0,1.01,0,1.07,0,0,52.14,0,0,0,1348.7,0,0,3.98,0,1.79,0,0,0,1.38,0,0,43.13,1.63,0,0,0
