stage,blastomeres,erythrocytes,exocrine_pancreas,eye,heart,mucous,notochord,paraxial_mesoderm,periderm,pronephros,vasculature
  3-4,24.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.77,0,0,0
 14-21,0,1.1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,16.11
 36-46,0,0,0,0,0,0,0,0,0,0,2.34
 48-58,0,0,0,0,0.58,0,0,0,0,0,0.53
 60-70,0,0,0,0,0,0,0.66,0,0,0.64,0.75
 72-82,0,0,0,0,0,0,0,0,0,0,5.23
 84-94,0,0,0,0,0,0,0,0,0.59,0,2.33
 96-106,0,0,0,0,0,1.41,0,0,1.28,0,5.93
108-118,0,0,0.59,6.4,0,0,0.69,0,0,0,1.44
120,0,0,0,0,0,0,0,0,2.24,0,1.67
