stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0
  5-6,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0
 24-34,0,0.6,3.5,2.8,0,0,0,0,0,0,0,0,0,0,1.43,9.85,0,0,0.78,4.66,0,0,0.68,0,0,0,10.35,0,1.71,0
 36-46,0,0,0,5.33,0,0,0,0,0,4.07,0,0,0,0.68,0,46.66,0,1.85,4.93,35.18,0,0,0,0,0,0.63,14.59,1.25,0,0
 48-58,0,0,0.5,0,0,2.21,0,0,0.44,9.37,0.47,2.31,0,0.68,0,112.19,0,2.46,4.63,27.87,0,0,0.62,0,0,0,27.09,1.22,0,0
 60-70,0,0.7,0,0.97,0,6.13,0,0,0,50.36,0,2.81,0,0,0,196.07,0,4.37,6.69,20.9,0,0,0,0,0,0,22.15,4.47,0,0.98
 72-82,0,0,0,6.59,0,16.7,0.98,0,0,48.43,1.65,6.19,0,0,0,445.73,0,26.26,5.3,35.14,0,0.79,0,0,0,0,5.36,10.03,3.34,11.81
 84-94,0,0,0,2.49,0,8.52,0,0,0,33.35,1.36,3.69,0,0,0.57,222.94,0,15.36,5.89,15.47,0,0,0,0.6,0,0,7.78,14.59,0,4.23
 96-106,0,0,0,5.67,0,11.54,5.43,0.61,0,59.34,0.7,10.26,0,0,3.24,291.55,0,3.73,4.38,25.32,0.98,0,0.62,4.6,5.27,0,10,12.47,0.57,13.36
108-118,0,0,0,16.43,2.59,9.35,0,0,0,28.5,4.32,1.9,0,0,2.42,374.67,0.43,10.74,3.01,42.23,0,0,0.54,5.15,0,0,0,20.86,0,18.85
120,0,0,0,19.71,0,26.8,0,3.6,13.42,55.24,1.26,10.45,10.59,0,1.12,328.25,0,40.28,4.22,45.35,0,1.45,0,0,0,0,0,16.94,0,20.31
