stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.7,0,4.59,0,6.96,0,0,0,0,0,0,0,0,0,0,0,23.63,0,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,22.68,0,0,6.26,0,0,0,0,0,0,0,0,0,0,76.05,28.69,0,32.51,5.95,0,21.06,0,0,0,0,0
 14-21,0,0,0,5.84,3.76,1.6,0,0,0,2.2,0,0,0,0,0,2.43,8.71,0,0,0,0,2.03,0,3.2,0.98,0,0,0
 24-34,0,0,0,0.61,0,0,0.72,0,1.36,0,0.8,0,0,0,3.65,1.46,15.68,0,2.19,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,1.34,0,7.44,0,0,0,0,0,0,0,2.02,0,0,0
 48-58,0,0,0,0.83,0,0,0,0.48,0.58,0,0,0,0,0,2.86,0,15.18,0,0,0,0,0,0,0,4.39,0,0,0
 60-70,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,1.43,0,21.92,0,0.62,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.61,0,1.42,0,0,4.42,0,0,0,0,0,3.5,0.71,139.54,0,1.71,0,0,0,0,0,0,0,0,9.31
 84-94,0,0,0,2.21,0,10.61,0,0,1.9,0,0,0,0.62,0,1.12,0.6,126.51,0,0,0,0,0,0,0,3.84,0,2.23,0
 96-106,0,0,0,2.87,0,10.82,0,0,2.09,0,0,0,0,0,7,1.09,147.74,0,2.17,0,0,0,0,0,7.04,0,0,0
108-118,0,0,0,0.88,0,10.6,0,0,0,0,0,0.5,0,2.4,1.99,0,137.85,0,2.57,0,0,0,0,0,4.99,0.5,0,0
120,0,0,0,0,1.33,10.04,0,11.96,12.47,0,0,0,0,0,6.63,0,264.81,0,0,0,0,0,0,0,0,0,0,0
