stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.69,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.13,0,0.88,0,0,0,0,0,0,0,0,0.91,0,0,3.55,0,0,0,0,0.86,2.5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0.95,20.44,0,0,0,0,0,3.06,0,0,2.59
 36-46,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,7.68,0,0,15.45,0,0,0,0,0,7.94,0,0,0
 48-58,0,0,0,1.99,0,1.62,0,1.4,0,0,0,0,0,0,1.62,0,0,27.46,0,0,0,0,0,2.27,0,0,0.9
 60-70,0,0,0,3.11,0,4.52,0,0,0,0,0,0,0.61,0,2.46,0,0,25.02,0,0.57,0,0,0,7.17,0,0,0
 72-82,0,0,0,0,1.02,5.06,0,0.86,0,0,0,0,0,0,2.9,0,0,35.22,0.52,0,0,1.53,0,7.52,0.94,0,1.55
 84-94,0,0,0,0,0,8.26,2.16,0.58,0,0,0,0,0,0,3.17,0,0,3.26,0.9,0,0,0,0,10.93,0,0,6.47
 96-106,0,0,0,0,0,0,0,5.02,0,0,1.53,0,0,0,17.15,0,0,17.57,0,0,0,0,0,2.15,1.59,0,10.69
108-118,0,0,0,0,0,3.63,0,2.07,0,0,0,0,0,0.6,6.71,0,0,6.09,0,6.7,0,0,0,8.46,0,0.53,2.31
120,0,0,0,0,0,9.61,4.03,4.28,1.5,0,4.46,5.05,0,0,7.26,1.65,0,10.63,0,0,0,1.11,0,0,2.39,0,10.03
