stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,22.44,0,12.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,31.1,0,17.82,0,0,3.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,8.54,0,0,0,0,0,0,0.91,2.1,0,0,0,0,0
 24-34,0,0.71,0.66,0,2.74,0,0,0,0,0,9.34,0,3.28,0,0.72,0.84,1.75,0,0,0,0,0,0,3.56,0,0,2.83,0,0
 36-46,0,0,0,0,0.76,0,0,0,0,0,14.98,1.36,16.69,0,0.66,6.51,0,0,0,0,0,0,0,19.52,0,0,6.21,0,0
 48-58,0,0,3.17,0,8.12,0,0,0,0,5.25,20.09,0.82,19.02,0,0.77,1.22,0,0,0,0,0,0,0,25.7,0,0,2.11,0,0
 60-70,0,0,0,0,0,0,0,0.86,0,0,45.04,4.25,22.88,0.96,6.51,7.53,2.41,0,0,0,0,1.94,0,3.74,0,0.9,4.91,0,1.77
 72-82,0,0,0,0,1.28,0.77,0.64,0,0,0.98,33.28,3.28,59.39,8.24,0,9.19,1.02,0,0,0,0,0,0,6.61,0,7.4,17.57,0.91,0
 84-94,0,0,0,0,1.4,0,0,0.62,0,0,39.61,3.15,63.55,3.24,0,15.1,0,0,0,5.42,0,0,0,3.9,1.21,6.34,26.29,0,0
 96-106,0,1.27,0,0,7.63,0,0,0,0,1.5,50.05,1.46,94.15,0,0.59,8.17,3.01,0,5.19,0,0,0.84,0,4.05,0,1.58,28.03,0,0
108-118,0,0,1.03,0.72,8.15,0.6,0,0.51,0,0,55.11,16.41,87.91,4.31,1.06,16.77,2.6,0,0,4.12,0,2.5,0,2.23,0,3.47,28.49,0.65,0.51
120,0,0,0,0,14.73,0,0,0,0,6.47,150.71,0,82.62,4.76,4.64,12.57,2.33,0,0,0,0,0,0,2.96,0,1.46,44,0,6.06
