stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,226.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,182.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,62.84,0,0,0,21.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,59.98,8.4,0,0,22.51,0,0,4.12,0,0,0,0,0
 14-21,0,0,0.81,2.71,0,7.28,0,0,0,0,1.02,5.11,0,0.87,56.42,0,1.19,0,0,0,7.97,0,5.36,18.14,0,4.53,3.62
 24-34,0,0,0,1.19,0.6,10.73,0,0,1.51,0.77,0.95,15.33,0,3.4,156.83,0,1.99,0.61,0,3.14,0,0,1.31,26.04,0,2.24,0
 36-46,0,0,0,1.08,0,4.29,0,0,2.47,0,0,6.19,0,0.57,55.48,0,0,1.05,0,0,0,2.21,0,4.71,0,0,0
 48-58,0,0,0,1.3,2.7,29.56,0,0.56,10.46,0,0,8.13,0.43,1.93,51.54,1.42,0,0,0,0,0,0,0,13.79,0.42,0.5,0
 60-70,0,0,0,0.74,0,13.49,1.1,0,1.51,10.22,0.87,6.99,0,0.57,26.28,0,0,0,0,0,0,0.76,0,14.69,0,0,0
 72-82,0,0,0,0,0,10.28,0,0.54,2.63,0,0,3.68,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.2,0,0,0.92,0,0,1.12,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.68,0,1.13,0,0,7.65,0.85,0,5.73,0.78,1.12,3.37,0,0,0,0,0,0,0,0,0.99,0,0,0
108-118,0,0,0,0,0,1.43,0,0,5.26,0,0,0,1.15,0,13.32,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.56,0,0,0,0,4.37,15.03,0,0,0,0,1.13,0,0,0,0,3.52,6.12,0
