stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.69,263.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,193.19,0,0,0,0,0,0,0,0,0,0,36.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.24,0,0,0,0,0,0,0,0,0,0,0,149.77,9.86,0,0,55.33,0,0,0,0,0,0,0
 10-12,0,5.4,16.53,0,0,0,4.5,0,0,0,0,0,54.75,0,0,0,53.31,0,0,0,5.74,0,0,0
 14-21,0,0,0,3.11,0,0,1.95,1.25,0,0,0.9,0,3.73,0,0,1.54,0.82,0,3.46,0,1.08,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.01,0,0,1.81,0,0,0,0.87,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,1.34,0,2.21,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.41,0,9.57,0,1.37,0,0,4.09,0,0,0,0.5,0,0
 60-70,0,0,0,0,0,0,0,0,3.09,0,0.92,0,5.3,0,0,0,0,0.71,0,0.68,0,1.91,0,0
 72-82,0,0,0,0,0,0,2.04,0,0,0,1.31,0.74,4.35,0,0,0.59,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.46,0.74,0,0.61,7.31,0,1.55,0,0,0,0,2.5,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0.84,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.58,0.56,0,2.83,0,0,0,1.5,0,0,0,0,0,0,5.29,0,0,0,0,0,1.2
120,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0
