stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.53,0,0,0,0,0,0,0,0,1.02,0,0,1.9,0,147.47,0,0,0,0,0,6.02,15.96,0,0.85,0,0,238.79,0.81,0,0,1.72,0.94,0,0,0,0,0
 24-34,0,0,4.14,0.59,651.55,0,0,4.98,0,10.38,0.83,4.55,4.23,0,0.95,0,21.04,0,1767.7,3.48,0,5.43,14.86,0,5.27,154.54,70.64,84.43,62.16,0,520.34,0,0,0.87,0.74,9.44,0,0,2.23,0,0
 36-46,0,0,4.34,0,2046.69,1.56,0,22.73,0.76,42.6,1.26,9.63,5.19,0,0,1.14,5.43,0,1477.1,5.06,0,8.7,48.42,0,0.94,214.29,382.26,73.07,67.78,0.97,1512.26,0,0.89,0,0,14.6,0,0,4.35,0,0
 48-58,0,0,1.09,0,2777.34,0,0,70.51,1.14,46.45,1.41,19.73,0,2.98,4.04,1.35,21.28,0,1012.57,0,5.94,93.15,42.4,13.5,9.44,275.19,746.81,54.45,84.08,7.19,2293.41,0,0,0,0,79.89,0,1.82,8.43,3.98,14.64
 60-70,15.95,0,0.9,0,3565.72,1.56,0,99.81,0,37.69,3.08,17.51,9.16,0.95,53.59,0.57,28.87,0,944.66,1.41,0,690.62,40.84,223.75,30.44,278.49,659.95,4.97,168.74,0,2622.6,0,0,0,0,21.56,4.56,32,48.98,15.96,0
 72-82,0,0,5.44,0,5896.32,2.7,0,336.06,0,146.24,9.58,78.32,91.02,4.19,287.27,3.07,146.11,0,1044.42,15.26,1.31,3276.32,151.86,588.82,113.64,731.14,865.21,19.92,36.07,18.23,3764.79,0,0,1.44,0,33.49,16.99,63.95,244.72,211.59,32.75
 84-94,0.62,0,9.45,0,21343.28,37.89,1.74,428.64,3.35,682.84,4.02,62.15,455.88,0.71,371.84,7.98,540.03,0,1730.52,11.64,0,3089.83,334.73,819.46,65.71,454.69,1472.6,13.68,41.24,26.19,14819.24,0,23.12,0.59,0,41.85,147.2,63.12,303.42,155.04,25.76
 96-106,22.57,0,10.14,1.17,37831.58,138.21,20.56,972.43,43.87,2147.44,19.55,267.18,1841.62,0,581.27,55.73,588.74,20.54,1945.11,24.15,4.09,6696,927.62,1041.25,168.35,1888.83,2155.26,38.62,79.39,30.53,10875.82,0,7.64,53.49,0,82.95,409.58,118.8,1047.78,335.94,59.46
108-118,16.63,0,15.89,5.46,49420.67,109.19,31.76,695.6,3.44,2806.88,9.89,218.53,4168.64,0,531.25,17.94,922.82,7.68,1531.04,51.84,4.84,9298.83,704.45,1109.23,174.21,1673.69,2797.57,41.1,103,37.15,15665.62,0,50.45,2.44,0,63.89,719.51,110.54,963.18,321.5,47.7
120,4.54,0,50.22,0,35478.39,56.33,2.27,572.33,43.93,2758.14,111.96,328.63,987.36,5.2,664.5,38.42,311.54,4,1013.13,60.13,0,11311.02,189.13,1280.14,263.59,1741.09,4138.81,93.95,136.53,36.73,10656.47,0,20.76,0,0,45.08,358.15,55.22,2069.69,564.05,28.45
