stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,1.04,0,0
 24-34,0,1.29,0.95,0,0,0,0.85,0,0,0,3.45,4.2,0,0,2.85,3.69,6.87,0,0
 36-46,0,0,38.11,0,0,0,0,0,0,1.57,4.5,21.57,0,0,6.41,0,4.13,0,0
 48-58,0,5.63,21.37,0,3.93,0,0,0.38,0,0.73,0,26.95,0,0,7.39,0,1.97,0,0
 60-70,0,1.39,10.06,0,0,0,0,0,0,0,0.68,1.94,0,3.08,3.02,0,0.64,0,0
 72-82,1.84,0,1.07,0,0.74,3.59,0,0,0,0.87,0,4.83,0,0,1.81,0,1.6,0,0
 84-94,0,2.21,3.71,0.78,1.24,0.56,0,0,0,4.89,0,0,0,0,0,0,0,0,0.6
 96-106,0,19.35,1.64,0,4.01,0,0,0,0,0,1.14,6.89,0,0,0,0,0,0,0
108-118,0,6.09,6.77,0,1.26,0,0,0,0.54,1.59,1.53,7.16,0,1.62,2.12,0,0,2.1,2.72
120,2.63,19.01,0,0,0,0,0,0,0,0,1.15,0,2.87,0,0,0,0,0,0
