stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,8.47,0,0,0,0,0,0,0,11.18,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,21.01,0,0,5.24,0,0
 10-12,0,0,10.88,0,0,0,0,0,5.81,0,0,0,0,0
 14-21,0,0.94,0,0,1.29,0,0,0,5.7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.74,0.62,0,0,0.61,6.36
 36-46,0,0,0.62,0,0,0,0,1.09,17.16,0,0,0,0,1.95
 48-58,0,0,4.47,0.58,2,0,0,0.38,17.3,0,0.38,0,0,0.67
 60-70,0,0,2.67,1.03,3.43,0,0.67,0,10,0,0,0,0,1.43
 72-82,0,0,3.49,0,2.64,0,0,0,11.28,0,0,0,0,0
 84-94,0,0,9.32,0,0,0,0,1.2,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.01,0.86,0,0,0,0,0
108-118,0,4.4,0,0,3.43,0.63,0,0,3,0,0,0,0,0
