stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
  5-6,15.35,93.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,2.91,0,0
 24-34,0,0,0,0,2.67,0,0,0,0,0,0,0,0.74,0,0,30.54,0,0.96,0,2.08,0.65,8.49,0,0
 36-46,0,0,0,1.58,0.76,0,3.31,0,1.71,0,0,0,0,0,0,61.09,0,0.95,0,5.07,0,18.82,0,0
 48-58,0,0,0,0.44,0.73,0,3.02,0,0,0.6,0,0.51,0,0,0,13.15,2.4,0.51,0,3.24,0,7.11,0,0
 60-70,0,0,0,0,5.06,0,4.29,0,0,0,1.9,0,0,0,0,19.17,3.02,1.76,0,2.49,0,1.25,0,0
 72-82,0,0,0,0,0,0,0.6,1.01,1.13,0.66,1.29,0,1.57,3.43,0,2.2,19.04,0.97,0,1.71,0,0,2.01,0
 84-94,0,0,0,0,1.68,0,1.1,0,0.62,5.8,6.02,0,0.57,0.9,0,3.04,6.92,6.74,0,2.72,0,0,2.04,1.11
 96-106,0,0,1.28,0,0.76,0,0,0,1.79,0,9.5,0,0.62,4.06,0,16.42,24.93,7.41,0,0.59,0,0,2.86,0
108-118,0,0,0,0,1.17,6.52,4.16,0,0,0,7.36,0,0,0,0,6.45,10.77,0.89,0,0.89,0,0.72,3.83,0
120,0,0,0,0,0,0,12.36,0,0,0,6.31,0,0,0,3.15,31.55,42.87,7.35,0,0,0,0,7.87,0
