stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.85,1808.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.9,930.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.66,13.98,0,0,21.47,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.2,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.36,7.8,0,0,86.11,0,0,4.77,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,10.72,0,0,0,0,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.07,11.79,0,0,59.99,0,0,18.5,0,4.44,0,0,0,0,0,0,0,0
 14-21,0,0,1.93,1.03,12.6,1.23,0,9.36,0,0,0,0.82,1.94,0,0,3.36,0,0,2.94,0,12.9,0,0,3.94,79.09,2.25,0.92,1.07,0.99,0,0,1.28,11.86,0.86,23.42,8.58,17.28,0,0,0,0,0
 24-34,0,0,0,0,2.03,3.4,0,19.01,0,0,2.76,0,0,0,1.2,0.79,0,0,1.63,1.63,15.27,0.83,0,7.77,83.74,0.65,2.71,2.93,0,0,3.33,0,0,0,5.55,1.41,14.29,0,0,3.26,0,0
 36-46,0,0,0,0,0.55,0,0,15.8,0,0,0.76,0,0,0,0.67,0,0.88,0.61,0,13.27,5.85,0,0.55,0.87,28.74,0.62,4.03,2,0,0,2.54,0,1.78,0,0,0,7.43,0,0,4.1,0,7.58
 48-58,0,0,0,0,0,0.4,0,4.13,0,0.82,4.43,0,0,0,3.48,0,0,0,0,4.67,7.22,0.47,0,2.32,21.62,0,0,0.9,0,0,1.64,0,0,0,0,0,3.14,0,0,2.69,0,0
 60-70,0,0,0,0,1.19,0,0,8.21,0,0,7.87,0,0,0,9.7,0,0,0,0,0.72,24.49,0.62,1.11,3.03,18.97,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,19.54
 72-82,0,0,2.24,0,0.64,1.75,0,22.19,0,4,20.99,1.42,1.02,0,1.49,0.76,0.62,0.49,1.49,2.16,18.28,0,0,0,18.59,0,0,1.58,0,0,2.67,0,0,0,0,0,10.85,2.62,0.72,7.01,0,0
 84-94,0,0,0,0,2.46,0.61,0,24.52,0,4.46,4.19,2.16,0,0,5.77,0.82,0,0,1.18,0,13.26,0,0,0.59,27.52,0,6.15,2.97,0,0.77,5.28,0,0,0,0,0,0,2.5,0,10.68,0,0.66
 96-106,0,0,0,0,2.63,0,0,29.15,0.93,0,11.12,1.41,0,0.88,11.09,0.87,0,0,0,0,15.42,4.8,0,5.62,13.93,0.58,0,2.92,0,0,1.33,0,0,0,0,0,1.14,0,0,1.22,0.68,0
108-118,0,0,0,0,6.56,3.91,1.21,38.63,0,0,12.61,0.61,0,0,23.57,0,1.27,0,0.82,1.8,22.66,0,0,1.77,14.97,0,0,1.51,0,0,10.16,0,0,0,0,0,0,0,0,1.6,0,0
120,0,0,0,0,1.1,3.65,0,15.28,0,0,4.41,0,0,0,34.92,0,0,2.6,0,0,19.86,0,0,2,31.61,2.87,0,7.39,0,0,7.25,0,0,0,0,0,0,0,0,11.67,0,6.16
