stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  3-4,58.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.55,0,4.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.95,0,0,8.47,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.72,0,1.66,0,0.8
 48-58,0,0,0,0.41,0,0.4,0,0,0,0,0,18.11,0,0
 60-70,0,0,0,0,0,3.8,0,0,0.87,1.31,0,14.84,0,0
 72-82,0,0,1.62,0,0,11.62,0,0,0,2.5,0,25.36,0,4.03
 84-94,0,0,0,0,0,10.43,0,0,0,0,0,76.04,0,0
 96-106,0,0,0,0,2.05,12.13,9.89,0,0,3.54,1.81,61.73,0,6.67
108-118,0,0,0,0,0,12.83,0,1.86,0,18.68,0,58.68,0,0
120,0,3.47,0,0,0,7.83,0,0,0,9.99,0,74.07,0,0
