stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,61.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,190.12,3.15,0,0,13.58,0,0,0,0,6.91,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,19.5,0,0,26.08,0,0,0,0,0,0,2.7,0,0,279.66,0.85,0,1.09,5.14,0,3.62,0.91,1.32,0,0.82,99.21,0,0,0,0,0
 24-34,0,0,0,0.59,3.8,0,0,95.54,0,0,22.94,0,0,0,0,0,0,23.98,0,5.53,869.54,1.7,1.06,2.97,0,0,0,0,0,1.02,0,182.54,0,0,10.68,0,0
 36-46,0,0,0,0,1.07,0,0,127.71,0,0,35.9,0,0,8.3,0,0,0,17.1,0.55,7.46,541.2,11.04,0,0,0,0,2.7,0,0,5.3,0,168.62,0,0,16.79,0,0
 48-58,0,0,0,0,2.22,0,0,140.42,0,0,16.53,2.36,0.58,0,0,0,0,42.28,0.58,4.88,308.99,0,0,0.39,0,0,0.49,0,0,0,0,39.04,0,0,13.22,0,0
 60-70,0,0,2,0,0.64,0,0,116.15,0,0,11.97,0,0,0,0,0,3.41,51.09,1.23,1.4,220.74,1.03,1.22,0,0,0,0,0,0,0,0,26.09,0,2.04,49.54,3.22,0
 72-82,0,0,1.57,0,1.86,0,0,78.3,0,0.68,30.69,0,0,0,0.88,0,2.04,69.08,0,0,292.82,1,0,2.38,0,0,2.12,0,0,0,0,22.51,0,0.73,73.3,1.51,8.46
 84-94,0,0,3.38,0,1.91,0.97,0,137.24,0,0.59,28.77,0,0,0,0,0.62,1.21,78.58,1.86,2.05,210.67,0,0,0.69,0,0,0,0,0,0,0,29.88,0,12.05,67.26,0,0
 96-106,0,0,0,0,6.84,0,0,121.14,1.64,0,28.58,0,0,0,0,0,1.54,81.83,2.45,0,192.4,0.68,0,0.72,0,0,0,0,0,0,0,12.65,0.65,1.03,98.28,4.86,0
108-118,0,0,4.72,0,1.97,0,0,123.13,0,2.87,23.85,0.42,0,0,0,1.05,0,76.57,0.94,4.87,275.26,2.22,0,0,0,2.51,2.81,0,0,0,0,14.07,7.89,0.96,69.16,2.01,7.84
120,0,0,7.35,0,1.65,6.81,2.68,87.3,0,0,60.51,2.45,0,1.03,0,0,1.84,112.22,0,3.16,459.18,4.72,0,0,0,17.78,0,0,0,0,0,7.46,1.99,0,135.38,37.81,0
