stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.05,0,0,0,6.14,0,0,0,0,0,0
 14-21,0,80.38,0,0.87,0,0,0,0,0,0,0,0,0,0,0,3.84,0.84,0,0,0,0,0,0,2.56,0,0
 24-34,0,99.28,0,10.95,0,0,0,0.8,0,0,0,3.22,0.62,0,1.37,26.76,0,0,0,0,0,3.16,0,23.82,0,0
 36-46,0,67.55,0,30.39,0,0,0,0,0,0,0,2.36,0,0,2.54,29.95,0,0,0,0,0,0,0,12.4,0,0
 48-58,0,65.65,1.55,21.41,0,1.45,0,0,0,0,0,3.18,0,0,1.07,38.3,0,0,0,0,0,0.38,0,10.58,0,2.21
 60-70,0,61.57,2.96,11.76,0,0,0,0,0,0.71,0,22.24,3.18,0,1.76,19.63,0,0,0,0,0,0,0,4.25,0,0
 72-82,0,49.79,5.23,21.96,0.94,2.04,0,0,0,0,0,61.19,0,0,1.77,18.3,0,1.86,0,0,1.78,0,0,8.94,3.36,0
 84-94,0,69.68,1.06,36.44,0.8,1.89,0.62,0,0,0,0.7,39.12,0.57,3.04,1.09,4.5,0,0,0,0,0,0,0,3.65,4.94,0
 96-106,0,68.91,6.85,46.53,0,1.69,1.02,0,0,0.81,0,61.06,0,0,1.75,33.76,0,1.62,0,0,0,2.2,0.71,8.99,5.54,0
108-118,0,90.3,8.5,35.9,0.65,0,0,0,0.54,0,1.37,69.63,1.18,0,1.36,43.32,0,0.48,0,0,0,0.42,0,1.73,10.82,0
120,0,69.36,17.48,50.19,0,2.03,0,0,0,0,0,88.15,0,0,10.68,31.58,0,0,13.45,0,0,0,0,11.27,19.01,0
