stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.49,4.03,0,0,7.05,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,16.24,0,0,0,10.24,0,0,0,0,0
 14-21,0,0,0,0,0.92,1.61,0,0,0,0,0,0,1.45,0,0,0,0,0,2.17,0,0,0,2.58,2.16,0,0,0,1.09,0,5.07,87.55,65.54,5.65,0,0,0,0
 24-34,0,0,0,0,3.1,0,0,44.5,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,31.1,40.06,2.13,0,0.66,0,2.12,1.03,30.58,63.05,6.65,0,3.75,0,0
 36-46,0,0,0,0,0,0,9.71,120.32,0,2.19,3.61,0,6.49,0,0,0,0.82,0,0,1.93,0,0,15.1,24.37,0.76,2.58,0,0,0,0,38.4,8.51,4.8,0,0.81,0,0
 48-58,1.15,0,0,0,0,0,23.88,111.1,1.78,0,3.22,0,0,0,0,0,1.85,2.15,2.48,15.59,0,0,30.96,69.11,3.67,0,0.91,0,15.2,0,10.29,0,18.82,0,0,0,1.91
 60-70,0,0,0,0,2.52,0,23.62,91.03,0,7.47,2.52,0,0,0,0,0,2.32,0,0,26.66,0,0,32.8,40.44,0.68,1.98,3.41,0,1.08,0,14.16,0,3.92,3.7,0,0,7.46
 72-82,0,0,0,0,0,0,22.84,77.39,0,2.33,4.05,0,1.23,2.2,0,11.31,3.27,0,0,45.82,0,2.54,12.63,19.65,1.72,0,9.66,0,2.21,0,3.83,0,0.83,1.57,4.36,0,0.55
 84-94,0,0,0,1.04,9.05,0,39.64,114.8,0,2.13,15.62,0,0,2.35,0,8.35,4.16,0,3.81,46.33,0,2.51,11.55,15.54,1.33,0,11,0,0.76,0,4.47,0,4.66,1.08,0,0,0
 96-106,0,0,0,0,5.35,5.9,31.71,114.73,0,2.64,12.76,0,0,0.59,0.78,8.29,1.31,1.29,0,27.34,0,0,13.05,47.73,0,3.83,8.91,0,9.55,0,1.76,0,2.27,2.98,2.67,0,0
108-118,0,0,0.85,0,1.07,0.52,67.84,107.1,0.53,2.46,5.88,0.99,0.74,0,0,8.86,0,4.03,0,44.55,3.95,3.19,28.96,50.04,2.86,2.06,28.19,0,1.59,0,1.71,0,0,4.84,2.45,0,3.93
120,0,0,0,0,0,0,21.06,63.65,7.49,1.67,0,0,0,4.56,0,1.62,0,0,0,60.66,0,0,23.65,27.95,0,0,8.54,0,2.45,0,3.12,0,0,2.35,0,1.43,0
