stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord
  5-6,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.42,1.25,0,0,2.33
 36-46,0,0,0,2.83,4.2,0,0,0,0,25.02,2.07,0,0,12.47
 48-58,0,0,0,9.38,0,0,1.33,0.75,0,21.14,0,0,0,5.28
 60-70,0,0,0,30.34,0,0,0.89,0,0,39.86,0,0,4.27,5.42
 72-82,0,0,0,15.92,0,1.2,0,0.65,0,38.62,0,0,0,4.38
 84-94,0,2.17,0,5.25,0,0,0,0,0,20.21,0,1.1,4.99,3.54
 96-106,0,0,1.14,0,0,0,0,0,0,15.37,0,0.63,2.41,1.16
108-118,0,0.78,0,2.64,0,0,0.66,0,0,26.83,0,0,0,0
120,0,0,0,9.03,0,0,0,0,1.9,17.67,0,0,0,0
