stage,endocrine_pancreas,erythrocytes,eye,glial,neural,otic
 36-46,0.77,0,0,0,0,0
 48-58,0,0,0,0,1.15,0
 60-70,0,0,25.34,11.13,1.09,0
 72-82,0.5,0,21.85,3.33,6.32,0
 84-94,0,0,12.9,1.48,7.5,0
 96-106,0,4.71,21.93,5.8,9.92,0
108-118,0,2.14,17.16,13.78,8.75,0
120,1.73,0,112.62,46.42,11.66,1.61
