stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.55,34.87,0,0,0,0,0,0,47.13,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,64.69,19.87,23.39,0,0,731.27,0,0,279.34,0,0,0,0,0,0,0,0,0,0,1030.06,0,0,0,27.57,0,0,0,0,0,0,0
 10-12,0,43.74,83.66,0,0,385.32,0,0,63.7,0,0,0,0,0,0,0,0,0,0,2114.1,7.14,0,0,49.08,0,38.95,0,0,0,0,0
 14-21,0,0,0,35.9,0.91,35.61,0,0,0,0,0,0,0,0,0,2.26,0,0,0,216.58,0,0,0,0,2.16,0,0,29.34,0,0,0
 24-34,0,0,0,7.67,0,69,0,0.76,0,0,0,0,0,0,0,1.57,0,0,2.71,278.41,0,3.37,8.95,0,10.75,0,0,45.16,0,9.71,0
 36-46,0,0,0,1.08,0,57.89,0,14.22,0,0,0,0,0,0,0,3.88,0,0,0,361.81,0,3.48,9.87,0,8.02,0,0,25.61,0,0.6,0
 48-58,0,0,0,2.89,0,72.17,0.4,26.58,0,0,0,0,0,0.39,6.04,1.71,0,0,0,360.62,0,0.97,5.69,0,1.03,0,0,24.57,0,0,0
 60-70,0,0,0,0.81,0,74.04,0,53.66,0,0,0,0,0,1.98,0,8.84,0,0,0.59,485.61,0,3.04,18.33,0,0,0,0,29.02,0,0,0.81
 72-82,0,0,0,2.46,0,77.81,0,41.74,0,0,0,0,0,0,0,3.7,0,0,1.05,531.6,0,2.62,6.41,0,2.66,0,0,9.01,0,6.39,0.67
 84-94,0,0,0,7.43,8.4,86.8,0,40.06,0.86,2.56,6.65,0,0,0,0,7.64,0,5.36,2.18,321.99,0,6.36,13.94,0,5.04,0,0,15.88,0,0,0
 96-106,0,0,0,5.41,0,65.16,0,42.72,0,0,0,0,0,0,0,7.06,0.68,0,0,279.02,0,4.14,21.5,0,6.68,0,0,3.71,5.55,0,0
108-118,0,0,0,5.88,0,78.2,0,31.4,0,0,0,0.93,0,0,0,5.05,0,0,0.5,567.67,0,8.12,11.47,0,2.57,0,0.63,3.18,0,1.88,0
120,0,0,0,7.45,0,61.36,0,58.31,0,0,0,0,1.77,0,0,9.23,0,0,0,570.7,0,1.91,13.93,0,5.21,0,0,0,0,11.27,0
