stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,99.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.06,130.9,0,0,0,0,0,0,0,64.13,15.57,22.71,0,0,0,0
  7-9,29.27,5.3,12.47,0,0,3.3,0,0,0,193.07,84.58,311.92,0,0,0,0
 10-12,0,0,0,0,0,3.59,0,0,0,35.67,0,175.85,0,0,0,0
 14-21,0,0,0,0,0.84,0,0,0,0,1.57,0.99,5.11,0,2.11,1.04,0.94
 24-34,0,0,0,0,0,0,0,0,0,0,0.9,0,0.64,0,0.62,0
 36-46,0,0,0,1.83,0,0,0,0,0,5.74,0,0,0.75,0,0,0
 48-58,0,0,0,0.4,0,0,0.43,1.4,0,1.98,0,0,0,0,0,0.7
 60-70,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0
 72-82,0,0,0,0.79,0,0,0,0,0,1.35,0,0,0,0,0,0
 96-106,0,0,0,0.73,0,0,0,0,0,8.17,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0
