stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,vasculature
  3-4,24.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,0,3.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.05,0,0,0,0,0,71.05,0,0,14.93,0,0,3.8,0
 14-21,0,1.8,0,0,0,0,0,0,0,0,8.23,0,1.06,2.36,0,0,0,0,0.83,0,0
 24-34,0,0,0,0,0,0,0,0,1.04,0,3.5,0.87,1.31,4.59,0.67,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.99,0,0,2.55,3.06,0.77,0,0,0,0,0
 48-58,0,0,0,0,0.98,0.71,0,0,0,0,7.1,2.51,0,1.85,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,5.98,1.49,0,3.4,0,1.55,0,0,0,0,0
 72-82,0,0,0,0,2.61,1.59,0,0,0,0,58.77,3.68,0,4.85,0,0.69,0,0.59,0,0,0
 84-94,0,0.71,0,0,0,0,0.57,0,0,0,139.35,5.32,1.48,4.52,0,0,0,0,0,0,1.23
 96-106,0,10.91,1.41,0.9,22.72,9.39,2.18,0,2.9,0.83,361.29,3.68,2.2,58.74,0,0,0,0.97,0,0,0
108-118,0,2.09,1.76,6.46,11.22,4.58,2.04,0,0,0.65,469.48,7.79,0,36.21,0,1.31,0,0.6,0,0.92,7.18
120,0,0,2.17,0,4.24,4.39,0,0,0,4.51,266.09,6.27,0,15.71,0,5.47,0,0,0,0,0
