stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.24,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.49,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,33.03,0,0,0,6.94,0,0,0,0,0,11.56,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,1.1,0,0,7.73,19.38,0,0,0,0,0,0,0,16.57,4.54,34.21,18.61,0,0,0,0
 24-34,0,0,0.67,1.34,4.81,0,0,0.7,0,0,4.42,0,0,0,0,0,0,0,0,0,4.98,0,0,5.64,241.26,0,0,0.69,0,0,1.88,0,0,26.72,3.29,18.92,0,0,0,0
 36-46,0,0,0.78,0,0,0,0,3.38,0,1.17,8.23,0,0,0,0,0,0,0,0,0,6.59,0,0,5.85,698.12,0,1.03,0,0,0,0,0.91,0,97.45,0,18.91,0,0,0,0
 48-58,0,0,0.84,0,7.11,0.8,0,35.69,0,3.03,12.27,0,0.37,1.04,0,0,3.42,0,7.52,0,18.89,0,2.21,9.53,810.03,0,1.07,0,0,0,0,0,0,31.51,0,18.38,0,0,0,0
 60-70,0,0,0,0,0.63,0,0,138.61,1.31,13.81,22.37,0,0,0,2.61,0,0,0.61,0,0,64.86,0,2.07,33.9,1095.94,0,1.82,0,0,0,0,0,0,21.34,0,14.2,0,0,0,0
 72-82,0,0,1.91,0,11.39,1.07,0,257.1,0,0,38.23,4.12,0,0,0,3.04,0,0.64,0,4.28,178.3,0,11.42,15.24,1218.53,0,1.59,7.39,0,0,0,0,0,21.67,0,14.87,1.01,2.83,1.43,19.41
 84-94,0,0,1.86,0,6.85,2.67,0,188.77,4.74,3.96,29.81,4.56,0,0.97,0,0.6,0.55,0.8,0,5.31,220.12,0,12.76,7.87,937.1,0,1.86,0,0,0,0,0,0,54.67,0,1.65,0,0,3.51,0
 96-106,0,0,8.81,0,12.92,17.59,0,220.21,8.77,10.14,45.95,9.29,0,3.66,2.19,11.08,0,0.84,0.7,0,186.94,1.23,3.03,10.72,869.42,0,0,0.98,0,0,3.61,0,0,141.9,0,1.34,1.21,5.43,2.99,6.46
108-118,0,0,1.91,1.47,15.42,5.48,0.6,188.5,0.88,2.66,49.94,11.55,0,0,3.55,1.63,0,0,7.43,0,119.88,0,1.83,14.37,1316.26,0.54,0,0.58,0,0,0.55,0,0,151.24,0,12.55,0,1.18,5.99,2.5
120,0,0,7.72,0,1.43,0,0,162.81,2.22,0,60.35,21.68,0,2,2.43,1.07,12.97,0,3.84,0,160.12,2.24,21.71,10.67,2407.55,2.28,0,14.75,0,5.9,0,0,0,160.82,0,0,0,0,0,2.85
