stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,47.62,960.76,0,0,0,0,0,0,0,0,0,42.51,0
  5-6,31.05,621.82,0,0,0,0,0,0,34.17,0,0,8.52,0
  7-9,0,0,41.52,0,0,0,7.03,0,74.02,10.32,29.6,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,6.45,0,0
 14-21,0,0,0,0,0,1.4,0,0,1.72,0,0,0,0
 36-46,0,0,0,3.17,0,0,0,0,1.64,0,0,0,1.79
 48-58,0,0,0,2.3,0,0,0,0,0.57,0,0,0,2.08
 72-82,0,0,0,0,0,0,0,1.76,0.81,0,0,0,0.91
 84-94,0,0,0,0,0,4.71,0,0,1.46,0,0,0,0
120,0,0,0,0,5.73,0,0,0,0,0,0,0,0
