stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.06,0,0,0,0,0,0,0,0,0,6.2,0,0,7.45,0.86,0,0,0,0,0,0,0,30.58,0,7.98,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,1.03,16.38,0,0,0.89,0.95,0.6,0,1.52,6.64,0,7.68,0,0
 36-46,0,0,0,2.75,0,0,1.29,0,0,0,0,0,8.95,0,0,0,2.4,0,0,0,0,0.88,0,0,0,0,0,0,0
 48-58,0,1.81,0,1.41,0,0.39,0.67,0,0,0,0,0,68.71,0,0.54,1.08,22.6,0,0,0.5,0,0,1.48,0,2.13,0,12.24,0,0
 60-70,0,2.89,0,16.39,0,0,0,0,0,1.06,0,3.59,289.26,0,1.26,4.49,28.81,0,2.36,9.15,0,0,0,0,1.06,1.8,0,1.88,1.44
 72-82,0,0.86,0,52.57,0,6.49,8.11,1.11,0,0.51,0.56,4.21,905.12,0,2.15,6.79,44.37,0,3.11,3.5,0,0.5,0,0,2.68,10.83,7.85,4.83,0
 84-94,0,8.41,0,44.39,0,4.86,4.85,0.92,0,2.26,1.82,3.63,666.17,0,0,8.32,24.79,0,0.93,4.43,0,1.46,0,0,7.73,12.9,3.83,10.29,0
 96-106,0,1.34,0,47.01,0,0.82,12.69,0,0,0,0,0,648.83,0,1.41,7.78,34.29,0.73,5.35,0.73,0,0.75,0,0,0,14.28,14.01,13.27,0
108-118,0,6.99,0,30.35,0,4.63,8.77,1.49,0,0,0.88,0,782.03,1.3,3.26,5.47,39.32,0,5.01,1.02,0,0,0,0,6.02,6.93,7.03,2.83,0
120,0,0,0,22.68,18.76,0,2.66,2.51,4.83,0,0,0,352.12,0,0,0,55.12,0,2.55,0,0,0,0,0,8.17,6.72,0,0,0
