stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,101.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.83,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,4.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,4.02,0,0,4.35,0,0,0,0,0
 14-21,0,0,0,2.12,0,0,0,1.07,0,0,0,3.43,2.65,0,0.9,16.21,0,0,0,0.87,0,1.7,0,1.22,5.3,0,0,0
 24-34,0,0.66,0,1.43,0,0,0,0,0,0,0,0,1.83,0,1.7,30.47,1.54,0,0,0,0,0,0,0.61,7.2,0,0,0
 36-46,0,0,0,9.41,0.73,0,0,0,0,0,0,0,2.99,0,1.65,53.21,0,1.21,0,0,0,0,0,0,4.59,0,0,0
 48-58,0,3.98,0,25.68,0,5.28,0,0,0,0,0,0,5.42,0,2.16,73.77,0,0.93,1.64,0,0,0,0,0,4.71,0,0.46,0
 60-70,0,0,0,18.48,0,2.94,0,0,3.75,0,1.51,0,23.54,0,0.68,64.11,1.7,0,0,0,0,0,0,0,10.47,0.99,1.71,0
 72-82,0,0,0,17.08,0,6.12,0,0,0,0,0,0,13.69,1.08,1.75,61.95,0,0,0,0,0,0,0,0,6.07,0,1.05,0
 84-94,0,0,0,13.38,0,15.87,0,0,3.04,0,0,0,13.62,0,1.89,24.91,1.13,0,0.59,0,0,0,0,0,6.23,0,0,0.66
 96-106,0,0,0,8.1,0,4.86,1.09,0,0,0,0,0,0,0,0,21.78,0,1.91,0,0,0,0,0,0,0,0,0,0
108-118,0,1.36,1.46,20.07,0.71,6.63,0,0,2.53,2.84,0,0,11.66,0,1.83,20.63,0,0,7.54,0,3.79,0,0,0,0.61,0,7.16,0.72
120,0,2.97,0,38.89,0,0,0,0,0,0,0,0,17.92,0,3.15,131.01,0,0,1.5,0,0,0,0,0,19.88,0,0,1.99
