stage,eye,mesenchyme,neural,spinal_cord,vasculature
 24-34,0,0.68,0,0,0
 36-46,0,0,0.9,0,3.19
 48-58,0,0,1.45,0.53,0
 72-82,0.99,1.23,0,0,0
108-118,0,0,0,0,1.17
