stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,7.17,0,0,0,0,0,0,0,0,0
 10-12,6.18,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0.9,0,2.99,0,0,9.98,0,0
 24-34,0,0,0.87,0,0,0,0.79,0,1.22,0,1.07,0,0,0.68,0,0.68,0,0,24.37,3.76,2.91,0,0,0,0,11.18,0,0,32.39,0,0
 36-46,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.09,2.21,0,0.74,25.38,3.37,0,0,0,0,0,25.4,0,0,50.68,0,0
 48-58,0,0,0.39,0,12.35,0,9.37,0,0.93,0,0,0,0,0,0,8.32,3.32,1.25,66.71,2.39,0.82,0,0,0,0.53,20.28,0,0,30.11,0,0
 60-70,0,0,0,0,5.02,0,9.7,0,0,0,0,0,1.76,0,0,11.83,0,2.12,187.7,8.78,0.85,0,10.06,0,0,34.61,0,0.83,23.87,0,0
 72-82,0,0,0,1.23,19.79,0,39.23,0,2.25,0,0,2.8,0,0,0,20.62,0,0,182.57,14.95,1.64,0,0,0,0,64.46,0,0.87,87.69,4.97,2.9
 84-94,0,0,6.08,0,13.1,0,19.71,0.6,0,0,0,0,2.02,0,0,32.37,0,0,158.95,2.19,1.29,0,2.68,0,0,31.83,0,0,43.22,4.6,0
 96-106,0,0,1.79,7.63,15.27,0,38.1,0,0.75,1.47,0,0,1.95,0,0,27.08,0,0,119.43,9.66,1.42,0,2.33,0,0.73,11.95,1.64,0,77.8,3.05,0
108-118,0,0,0.68,4.43,12.52,0,49.57,0,0,0,3.88,0,0.94,1.31,0,37.87,0,0,177.66,1.3,0,0,0,0,0,15.51,0.71,1.37,52.33,2.87,0
120,0,0,6.48,0,7.12,2.66,78.66,0,0,0,4.52,2.22,1.15,1.84,0,39.89,0,4.18,269.36,2.34,7.65,0,0,0,0,76.3,0,0,124.37,2.7,0
