stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,periderm,pronephros,xanthophores
  3-4,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0.43,0
 60-70,0,0,0,0,0,0.61,0,0,5.54,0,0,0,0,0,0,0
 72-82,0,6.42,0,0,0,0,49.15,0,0,0,0,0,0.7,0,0,0
 84-94,0,5.07,0,0,0,0,25.38,0,0,0,0,0,0,0,6.84,0
 96-106,0,24.42,1.97,0,0.86,0,104.6,0.65,0,0,0,0,3.32,0.81,0,0
108-118,0,14.49,2.1,5.6,0.99,0,82.2,0,0,0,0.76,2.59,6.48,0,20.17,8.89
120,0,20.69,0,1.89,0,0,136.05,0,9.46,1.01,0,0,4.22,0,0,0
