stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,25.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,82.64,0,0,0,23.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.56,0,10.44,0,15.65,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,498.71,12.7,0,0,15.82,0,0,0,3.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,427.45,13.07,0,0.8,1,0,1.11,3.51,0,0,0,2.1,0,0,57.39,0.85,6.62,0,0,5.11,47.25,0,0,0,0.94,0,105.76,4.14,1.56,0,0.88,2.78,0,0,14.48,0,0
 24-34,0,0,0,5.89,476.11,0.61,0,7.86,42.86,0,0,8.32,0,1.04,10.65,23.59,0,5.41,103.63,30.31,23.8,7.85,0.89,17.52,76.21,0,21.9,1.28,0,0,482.58,0,4.8,0,2.83,12.63,0,0,55.23,0,54.86
 36-46,0,0,0,0.6,517.03,7.25,0,8.28,116.21,0,3.45,8.92,0.76,3.27,74.02,38.09,7.84,11.77,23.46,216.65,19.57,13.81,0,5.72,67.19,0,18.81,0,0,0,976.01,0,12.35,0,0,12.77,0,0,23.52,0,64.23
 48-58,0,0,0,0,440.06,0,0,33.23,134.14,0,6.84,7.08,2.43,3.01,76.76,10.35,0.92,16.27,5.16,106.79,28.91,7.73,0.83,3.82,81.79,0,10.34,0,0,0,773.87,0,2.9,7.15,0,14.9,0,0,29.91,0,104.22
 60-70,0,0,1.73,0,669.76,0,0,34.03,236.6,3.89,2.73,39.4,8.05,1.29,104.56,29.43,2.99,5.92,6.32,131.82,22.14,11.42,1.81,0,89.27,0.68,20.26,0,0,4.12,768.73,0,5.77,2.41,0,2.54,1.9,0,13.4,0,129.75
 72-82,0,0,4.63,1.12,444.66,2.37,0,41.03,134.99,0.71,10.27,72.46,1.23,1.28,110.21,44.31,0.71,15.57,9.29,87.08,26.19,17.85,3.53,3.8,93.92,0,45.1,0,0,0.8,529.84,0,10.46,0,0,1.77,15.5,0,32.54,1.44,118.73
 84-94,0.62,0,6.43,0,506.13,6.93,0,28.83,193.17,2.65,0.97,92.32,1.5,0,119.11,40.47,2.63,11.95,11.05,70.77,12.58,13.2,5.73,2.75,38.97,0,27.39,0.81,0,0,890.32,0,3.83,0,0,4.34,26.64,0.68,24.54,0,52.51
 96-106,0,0,3.45,3.08,575.8,8.24,6.8,25.17,101.55,4.11,5.43,172.11,0,3.24,87.33,58.75,6.22,17.7,29.56,25.02,29.1,27.07,3.1,1.82,79.6,0.81,34.46,0,0,0,605.73,0,2.55,0,0,0,17.65,0,28.92,4.15,86.04
108-118,0,0,3.81,0,574.18,10.47,0,41.22,193.35,4.25,8.43,217.83,0,0,121.64,61.42,25.35,12.56,14.4,35.1,35,13.44,2.26,2.77,81.08,0,20.61,0,0,0,568.7,0,3.36,0,0,6.11,36.23,1.36,38.21,1.13,48.25
120,1.12,0,0,6.07,803.26,2.67,0,32.79,245.47,0,29.11,374.06,0,0,349.17,74.54,11.19,15.91,17.52,48.61,43.7,29.83,0,10.68,120.98,0,82.59,0,0,19.53,718.15,0,5.34,0,0,15.77,23.98,0,57.52,0,28.89
