stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,1.57,0,0,0,0
 24-34,0,0,0,1.88,0,0,0,0,1.22,0.72,1.22,3.9,0,0,8.62,0.65,0,0,0
 36-46,0,0.59,0,0.7,10.27,0,0,0,0,0,2.09,5.49,0,0.69,0,0,0,0.82,0
 48-58,0,0,0,1.64,12.45,0,13.16,0,0,1.03,0,18.88,0,4.17,1.17,0,1.71,0,0
 60-70,0,1.4,0,0,4.1,0,64.8,0,0,1.82,2.21,19.01,0,0,9.53,0,0,0,0
 72-82,0,0,0,15.93,5.47,0.84,557.9,0,0,3.55,4.98,35.43,0,0,6.12,0,3.3,0,0
 84-94,0,0,0,4.34,2.56,0,332.16,0,0,4.13,0,23.99,0,0.81,1.22,0,0,1.25,0
 96-106,0,0.57,2.85,1.49,0.71,0,858.17,1.5,0,5.48,1.79,38.26,0,0,2.68,0,0,0,0.69
108-118,0,0,0,3.33,3.54,0,758.46,0,0,4.5,0,47.71,0,2.81,0.43,0,0,0.5,0
120,0,0,0,6.48,1.26,2.41,817.83,0,0,17.39,4.02,53.28,0,0,4.04,0,9.32,0,0
