stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,279.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.46,0,0,0,0,0,0,0,0
  5-6,0,38.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,34.9,0,0,48.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.84,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0
 10-12,29.34,59.21,0,0,85.41,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,2855.82,19.94,0,0,20.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,321.97,28.02,36.24,0,0,0,0,2.12,0,0,0,0,0,0,52.91,0,34.71,2259.91,7.82,1.08,0,0,0,0,7.48,1.84,5.06,2.73,449.43,0,0,0
 24-34,0,0,15.31,0,71.31,0,1.36,8.78,0,0,0,0.99,0,0,2.16,0,13.93,0,21.42,3170.75,0,17.66,2,0,0,3.58,0,0,0.78,0.61,450.18,0,5.47,10.37
 36-46,0,0,1.7,0,165.84,0,2.19,446.32,0,0,0,0,0,0.7,0,0,23.7,0,6.86,2828.3,0,4.68,0.91,0,1.69,6,4.29,0,0,0,326.02,0.85,0,0
 48-58,1.15,0,17.43,0,213.07,0,0,629.41,0,0,0,2.78,0.38,0,0,0.78,19.32,0,2.88,1675.97,1.02,2.71,0,0,0,0,0,0,1.2,0,151.83,0,0,2.83
 60-70,0,0,4.5,0,188.14,0,0.81,368.31,0.62,0,0.57,0,0,0,0,0,24.79,0,0,688.26,0,0.83,0,0,0,2.94,0,0,0,0,54.71,0.59,0,0
 72-82,0,0,2.19,0,217.19,0.55,0,303.98,0,0,0,0,4.02,0,0,0,6.71,0,0,496.63,0,0,2.42,0,1.61,3.46,0,0,0,0,40.37,0,1.12,4.49
 84-94,0,0,3.71,0,150.92,0,0,270.37,0,0,0,0,0,0,0,0,10.01,0,0,297.57,0,0.9,4.33,0,0,0,0,0,0,0,40.52,0,0,0
 96-106,0,0,14.74,1.73,124.8,1.75,0,226.33,0,0,0,0,0,0,0.97,0,6.55,0,2.75,309.57,0,0,3.53,0,0,1.24,0,0,0,0,11.66,0,0,0
108-118,0,0,10.81,0.84,186.07,0,0.57,260.89,0,0,1.14,0,0,0,0,0,13.36,0.56,2.13,456.24,0,1.9,5.4,0,0,0.53,0,0,0,0,16.19,0,0,0
120,0,0,6.58,0,120.41,0,0,336.57,0,0,0,0,0,0,0,0,22.79,0,0,440.69,0,0,1.34,0,0,0,0,0,0,0,6.18,0,0,0
