stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,68.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19.02,0,0,0,17.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,1.13,0,2.02,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,1.84,32.79,0,5.27,0,0,0,1.76,0.81,8.16,13.46,0,0,0,0,0
 24-34,0,0,1.22,0,6.27,0,0,0,0.62,0,0,0,0.86,0,0,0,7.31,4.15,0,0.71,159.87,1.26,0,0,0,0,0,0,0.69,39.03,0,0,1.13,0,0
 36-46,0,0,0,0,29.3,0,0,0,0.63,0,0,0,0,0,0,0,0,6.39,0,1.67,226.77,0,3.56,0,0,0,0,0,0,62.25,0,0,1.74,0,0
 48-58,0,0,0,0,66.1,0,0,0,7.18,0,0,0.55,0,0,0.39,0,0,3.59,0,0,231.41,5.53,1.12,0.4,0,0,0,0,0,56.47,0,0,3.01,0,3.4
 60-70,0,0,0,0,175.71,0,0,0,11.11,0,0,0,0,0,0,0,0,5.95,0,0.57,261.51,1.31,1.19,0,0,0,0,0,0,38.29,0,0,0,0,0.65
 72-82,0,0,4.1,2.77,153.16,0,0,0.56,13.13,0.64,0,5.15,1.31,0,0,0,0,16.4,1.15,0.64,228.04,0,3.98,0.49,0,0.73,0,0,0,8,0,0,8.63,0,0
 84-94,0,0,0,4.54,120.17,0,0,0,13.94,0,0,0,3.97,0.58,0,0,2.81,13.86,0,0,176.38,0,0,1.19,0,1.06,0,0,0,14.07,0,0,2.09,0,0
 96-106,0,0,0.63,0,95.35,0,0.58,0,22.54,0,0,0,4.64,2.18,0,0,0,22.3,0,1.06,125.47,0.8,3.69,0.73,0,0,0,0,0,9.38,4.84,4.59,2.64,2.52,0
108-118,0,2.33,1.7,1.41,67.96,5.31,0,0,16.1,0,0,0,0.63,0,0,0,0.51,7.26,2.32,0,170.84,0,0,0,0,0,0,0,0,10.09,0,0,1.71,0,0
120,0,0,0,2.91,91.01,0,0,6.63,9.02,0,0,0,0,0,0,1.1,0,30.95,17.36,5.4,231.77,0,0,0,0,2.42,0,0,0,6.43,0,0,0,0,0
