stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0,0,0,74.98,0,0,0,13.77,0,0,0,0,0,0,0,0,0,0
 10-12,8.48,0,4.87,0,0,0,18.38,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,124.26,19.64,0,0,35.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.92,0.9,0,6.42,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0.81,45.8,3.33,0,0,2.04,0,0,2.04,0,0,2.84,10.95,0,0,0
 24-34,0,0,0,2.19,0,0,5.99,1.33,0,1.19,0,0,0,0,0,0,0,0,0,0,0.6,94.74,3.51,0,0,0,0,0,0,0,0,0,28.3,0.73,0,0
 36-46,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.41,230.85,1,0,0,0,0,0,0,0,0,0,37.65,5.54,0,0
 48-58,0,0,0,0,0,0,19.3,0.75,8.43,0,0,0.77,0,0,0,4.36,0,2.79,0,0.39,2.29,269.97,0,0,0,0,0,0,0,0,0,0,19.34,3.31,0,1.88
 60-70,0,0,0,0,0,0,54.08,10.61,9.85,0,0,0,0,0,0,0,0,7.55,0,0,1.59,373.51,0,0,2.83,0,0,1.81,0,0,0,0,14.6,1.71,0,5.02
 72-82,0,0,0,0,0.68,0,89.7,0,8.18,0,0,1.32,0,0,0,0,7.1,6.39,0,0,0,350.75,3.59,0,4.28,0,0,0,0,0,0,0,7.91,5.43,0,3.9
 84-94,0,0,0,1.44,0,0,55.37,10.22,5.31,0,0,0,2.19,0,0,0,0,4.75,1.52,1.53,0,208.32,3.55,0,0.96,0,0,0,0,1.09,0,0,1.65,6.81,0,0
 96-106,0,0,0,0,0,0,59.1,0.64,3.04,1.16,0,0,0,0,0,0,0,8.76,0,0,0,151.16,0.62,1.85,0.64,0,2.45,0,0,0,0,0,3.31,2.03,1.2,0
108-118,0,0,0,2.53,0,1.13,80.54,1.03,4.43,0,0,0,0,0,1.03,0,0,7.43,0,0,0,251.73,3.64,0,0.44,0,0,1.72,0,0,1.5,0,0,4.2,0,0
120,0,8.41,0,2.81,0,0,79.34,8.73,6.35,0,0,0,0,1.89,0,0,0,12.65,0,0,0,342.14,1.32,0,1.02,0,0,0,0,0,0,0,16.91,0,0,0
