stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.51,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,7.85,0,0,0,0,0,0
  7-9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,40.34,4.42,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,1.98,0,0,1.24,0,0,0,0,4.1,1.13,0,0,1.79,5.13,2.67,2.61,0,0,0
 24-34,0,0.63,1.4,2.3,0,0,0,0,0,1.44,0,11.13,0,0,0,0,0,1.88,0.83,0,1.36,0
 36-46,0,1.44,0,7.51,0,0,0.59,0.56,0,1.67,0,11.73,0,0,0,0,0,0,1.49,0,0.72,0
 48-58,0,0,0,7.47,0,0,1.19,0,0,2.07,0,26.44,0,0,0,0,0,0,0.88,0,0,0
 60-70,0,0,0,24.56,0,0,0,0,0,0.86,0,23.87,0,1.47,0,1.77,0,0,0.82,0,0,0
 72-82,0,1.9,0,23.08,0,0,5.41,0,0,0,0,35.27,0,2.77,0,0,0,0,0,0,0,0
 84-94,0,0,0,14.21,0,0,2.01,0,0,9.27,0,16.72,0,1.83,0.65,0.72,0,0,0,0,0,0
 96-106,0,0,5.1,14.5,0,0,1.35,0,0,4.48,0.58,13.35,0,0,0,0,0,0,0,1.57,0,0
108-118,0,0,0,2.58,0.54,0.73,0,0.68,0,1.07,0.56,18.9,0,1.5,0,6.93,0,0,0,0,0,0.57
120,0,0,0,1.63,0,0,5.55,0,1.06,0,0,22.91,0,0,0,2.78,0,0,0,0,0,0
