stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,1.03,1.25,0,0,1.16,0,0,0,0,0,2.68,0,0,0,5.67,0,0,0,0.86,1.5,0,0
 24-34,0.8,1.46,0,0,0,0,0,1.4,0,0,0,0,0,0,0,6.37,0,0,0,0,0.79,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,5.62,0,0,0,0,1.04,0,0
 48-58,0,0,0,0,0.42,0,0.54,1.73,0,0,0,0.7,0.63,0.39,1.27,10.03,0,0,0.4,0,0,0.46,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,4.08,0,0,0,0,0,0,0
 72-82,0,0.67,0,0,4.32,2.85,0,2,0,0,0,3.72,0,0,0,3.93,0,0.54,0,0,0,0,0
 84-94,0,0,0,0,3.42,0.66,0,0,0,2.56,0,1.03,0,0,1.47,0.86,0,0,0,0,0,0,0
 96-106,0,7.52,0,0.8,7.48,0,0,6.89,0.63,0,0,5.55,0,0,0,3.44,1.84,0,1.58,0,4.12,0.78,0
108-118,0,0.66,0,1.01,3.81,0,0,0,0.97,0,0.74,8.4,0,0,0,5.83,0,0.42,0.45,0,0,0,1.13
120,0,0,0,0,0,0,0,0,1.12,0,0,2.42,0,0,0,10.12,0,0,0,0,0,0,0
