stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.66,25.53,8.97,0,15.11,0,0,0,3.43,1.07,0,0,0.89,0,0,0,1.77,13.88,0,0,6.2,179.86,0,0,0,0.85,0,7.72,39.12,3.86,0,41.56,63.5,0,0,4.41,0,0
 24-34,0,0.65,3.07,9.55,0,0,36.2,0,0,0.74,7.8,0.96,1.06,0,0.81,0,0,0,0.7,27.35,0,0,10.07,266.12,1.04,5.46,4.18,0,0,4.15,0,0,0,7.95,62.19,0,0,5.06,0,0.7
 36-46,0,0,0,33.92,0,0,86.85,0.59,4.94,0.8,24.82,3,0.9,2.03,15.76,1.22,1.19,0.71,0.91,37.74,0,1.3,11,397.3,0.84,10.08,13.96,0,0,47.81,0,1.06,1.67,0,65.27,0,0,3.11,0,1.62
 48-58,0,0,0,14.37,1.12,0,159.57,2.23,0.93,5.7,45.5,1.42,2.65,1.68,0.93,0.4,6.34,1.59,0.57,51.88,0,0,5.6,318.32,0.41,3.47,3.04,0,0,2.36,0.92,0.56,0.89,0,56.39,0,0.64,9.88,0,5.69
 60-70,0,0,0,29.95,0.67,0,172.34,0,0,0,26.21,2.08,0.93,7.25,0.61,0,1.55,0,4.38,47.47,0,0.67,6.27,190.97,0,4.37,1.03,0,1.9,13.16,0,0,0,0,16.52,0,1.06,3.3,0,1.7
 72-82,0,0,0,2.29,2.73,0,136.29,0,3.82,3.11,27.6,1.77,3.89,1.5,0,1.53,1.9,0,0,29.46,0.78,0.98,4.75,119.69,0.9,6.85,4.44,0,0,5.11,0,0,0,0,6.7,1.44,1.61,5.4,0,0
 84-94,0,1.29,0,12.69,2.35,0.89,57.23,7.14,0.63,0.93,13.87,5.99,2.32,11.35,3.57,0,0,1.7,1.4,39.59,3.75,1.29,5.81,90.21,0,10.39,6.84,0,0.83,10.6,0,1.85,0,0,7.85,2.75,1.77,7.14,0,0
 96-106,0,2.56,0,20.37,0,0,96.57,0,2.09,0.6,41.37,6.18,1.46,6.06,4.09,2.34,7.85,0,0,51.48,0.97,2.79,5.54,90.91,0,15.31,3.77,0,0,6.18,0,2.65,0,0,4.28,3.34,0.58,9.1,2.56,0
108-118,0,6.2,0,17.83,4.33,0.45,63.75,0.51,5.28,5.07,44.79,5.64,0.51,9.95,5.91,1.66,7.42,1.24,0,66.47,5.85,0.99,9.81,155.79,0,20.14,1.65,0,4.16,12.35,0,0.42,0,0,4.47,3.52,2.7,12.55,1.59,3.69
120,1.19,8.41,1.28,25.63,16.99,0,75.25,1.58,3.72,1.04,138.71,9.91,4.47,16.67,1.25,0,5.4,4.88,0,71.03,1.47,0,13.45,247.44,1.32,10.12,12.76,0,4.48,23.72,0,0,0,0,0,8.42,2.41,7.7,2.01,0
